,fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
18,"Linoperamata Hrakliou, Greece (LIN)","Agia Roumeli, Greece (ROU)",BLUE STAR 2,ZANTE FERRIES ,1.0,2.0,Deck/Living Room [D] ,389.0,Hoplites,54.69361600610979,2010-03-29,09:01:20,1900-01-01 14:06:20,F,1998-07-31,Armenia,+1-556-992-8230x380,Denise,Romero,Denise.Romero@gmail.com,GB12AUBN91836768427843,Denise,Romero,03/25
19,"Astypalaia, Greece (JTY)","AGIOKAMPOS EUBOIAS (OREON), Greece (AOR)",F/B KRITI I,SARONIC FERRIES,3.0,3.0,Cabin-4 Beds (Ext.) [A4],273.0,College Student,78.29705831033554,2002-07-15,13:12:54,1900-01-02 06:41:54,F,1989-10-22,Belarus,+1-855-216-5503x489,Brittney,Lam,Brittney.Lam@gmail.com,GB26RSLN61930907128974,Brittney,Lam,03/27
20,"PEUKOKHORI KHALKIDIKES, Greece (851)","ALUKE BOLOU, Greece (711)",BLUE STAR MYCONOS,SEAJETS,7.0,8.0,Cabin-4 Beds (Ext.) [A4],192.0,Hoplites,37.088196240761434,2012-02-21,12:13:30,1900-01-02 04:26:30,M,1978-08-27,Guadeloupe,280.902.1032,John,Chavez,John.Chavez@gmail.com,GB53LMUQ89179044697844,John,Chavez,09/28
21,"Edipsos, Greece (EDI)","Kos, Greece (KGS)",H/S/F HELLENIC SPIRIT,SEAJETS,5.0,5.0,Cabin-2 Beds (Ext.) [A2],342.0,College Student,43.99554270262121,2013-11-13,08:18:47,1900-01-02 03:36:47,F,1988-08-28,Finland,009.812.7739,Brenda,Medina,Brenda.Medina@gmail.com,GB66AXBB28905173231582,Brenda,Medina,01/30
22,"Lefkandi, Greece (LEF)","Paloukia, Greece (PAO)",RAPIDLINK JET,AEGEAN FLYING DOLPHINS,4.0,4.0,Aviation Seat [ATS],415.0,Three Children,21.768184485572416,1988-04-19,06:30:49,1900-01-02 01:05:49,M,1971-05-10,Micronesia,+1-992-707-2778x2120,Derrick,Flowers,Derrick.Flowers@gmail.com,GB24VQEQ52592838640974,Derrick,Flowers,04/27
23,"RAKHAI PHTHIOTIDAS, Greece (825)","KASSANDRA KHALKIDIKES, Greece (749)",SUPERFAST II,NOVA FERRIES,6.0,7.0,Aviation Seat [ATS],23.0,College Student,58.754374130837924,1999-12-20,05:18:30,1900-01-01 23:55:30,F,1995-07-05,Bermuda,001-320-658-3018x05340,Julia,Williams,Julia.Williams@gmail.com,GB39NIWF50494862848921,Julia,Williams,11/28
24,"Psara, Greece (PAA)","Vathy (Port Vathy), Greece (VTH)",BLUE STAR CHIOS,KERKYRAIKES GRAMMES,4.0,3.0,Aviation Seat [ATS],232.0,Having many children,49.99061998612716,2010-04-01,02:47:16,1900-01-01 14:56:16,F,1995-10-28,Niue,+1-897-756-2245x19916,Cathy,Tucker,Cathy.Tucker@gmail.com,GB82OUXP62042400322987,Cathy,Tucker,10/32
25,"Kastellorizou (ex Megisti), Greece (KAS)","Korinthos, Greece (KRT)",STAVROS,TRITON FERRIES,1.0,2.0,Cabin-3 Beds [AB3],389.0,Hoplites,94.9286509491166,2006-05-25,10:59:14,1900-01-01 12:53:14,F,1982-02-03,Mozambique,(589)439-0659,Danielle,Ruiz,Danielle.Ruiz@gmail.com,GB59YCYD08050446220885,Danielle,Ruiz,12/29
26,"Gythion, Greece (GYT)","Sigri Lesvou, Greece (SGR)",F/B ELEFTHERIOS VENIZELOS,AGIA MARINI NE,10.0,1.0,Cabin-4 Beds [AB4],185.0,College Student,72.01075895906695,2007-02-18,09:57:24,1900-01-01 21:33:24,M,1981-04-27,French Polynesia,+1-524-821-1709x954,Derek,Meyer,Derek.Meyer@gmail.com,GB60QYAD54401439704158,Derek,Meyer,09/25
27,"Politika, Greece (PTK)","ARMENISTES RODOU, Greece (718)",ANO CHORA,KATEROS,1.0,1.0,Aviation Seat [ATS],491.0,Having many children,65.24949300221681,1973-01-24,02:47:15,1900-01-01 21:11:15,F,1990-12-06,Cuba,533-384-4277,Caitlin,Sullivan,Caitlin.Sullivan@gmail.com,GB80ZFJJ29617295741617,Caitlin,Sullivan,10/29
28,"Amoliani, Greece (AMI)","Thessi Kyrillo, Greece (TKO)",AGIOS NEKTARIOS,ANES FERRIES,1.0,1.0,Cabin-4 Beds (Ext.) [A4],1.0,Having many children,50.16535088634423,2016-09-09,15:06:01,1900-01-01 23:38:01,M,1995-10-02,Serbia,+1-948-115-8926x22942,Scott,Reynolds,Scott.Reynolds@gmail.com,GB26GBIH32160099288328,Scott,Reynolds,07/27
29,"KORONE MESSENIAS, Greece (756)","Tolo Argolidos, Greece (TLA)",FLYINGCAT 3,ALPHA LINES,6.0,3.0,Cabin-2 Beds [A2K],431.0,Having many children,31.840403794377167,2022-10-14,18:24:55,1900-01-02 07:01:55,F,2001-10-02,Sudan,(223)487-6995x96106,Stephanie,Jones,Stephanie.Jones@gmail.com,GB02XKDQ47633887004391,Stephanie,Jones,04/32
30,"PORTO LAPHIA EUBOIAS, Greece (821)","Sikionia, Greece (SIK)",SEMPEKO 2,SEA SPEED FERRIES,6.0,5.0,Aviation Seat [ATS],145.0,Retired NAT,66.62318250570817,2019-02-25,01:36:47,1900-01-01 13:44:47,M,1984-08-14,Papua New Guinea,188-190-1742x779,Paul,Kidd,Paul.Kidd@gmail.com,GB60UDUA04310964880179,Paul,Kidd,06/26
31,"Faneromeni Salaminas, Greece (FNR)","Psakhna, Greece (PSA)",OLYMPUS,MINOAN LINES,1.0,2.0,Aviation Seat [ATS],377.0,Three Children,70.81705364808394,1976-05-23,14:52:10,1900-01-01 21:59:10,M,1992-02-03,French Polynesia,137-388-9410,David,Munoz,David.Munoz@gmail.com,GB12AQFS16061040934797,David,Munoz,12/32
32,"KOTRONAS LAKONIAS, Greece (757)","Igoumenitsa, Greece (IGO)",HIGH SPEED JET,SARONIC FERRIES,9.0,7.0,Cabin-4 Beds (Ext.) [A4],189.0,Three Children,86.39747121915376,2010-04-20,10:56:33,1900-01-02 06:13:33,F,1973-05-23,Puerto Rico,618-121-5817x16186,Paula,Lucas,Paula.Lucas@gmail.com,GB86CEFL28941404551321,Paula,Lucas,06/27
33,"PUDNA PIERIAS, Greece (823)","Nea Moudhania, Greece (NMA)",FAST FERRIES ANDROS,AEGEAN FLYING DOLPHINS,6.0,3.0,Cabin-2 Beds (Ext.) [AA2],315.0,No discount,33.24126537270813,1986-10-29,22:45:39,1900-01-02 01:10:39,M,1979-09-04,Tanzania,(896)942-6066x2344,Gregory,Hall,Gregory.Hall@gmail.com,GB24CTOP69335739983731,Gregory,Hall,11/29
34,"Tilos, Greece (TIL)","Agia Marina Fthiotidas, Greece (AGM)",CORFU SPIRIT,DODEKANISSOS SEAWAYS,8.0,5.0,Cabin-3 Beds (Ext.) [A3],156.0,Having many children,14.056199209432894,2000-03-13,23:59:57,1900-01-02 08:17:57,F,2004-03-19,Netherlands,262.731.0305x2269,Tonya,Smith,Tonya.Smith@gmail.com,GB65UUXU18146029713451,Tonya,Smith,11/32
35,"Politika, Greece (PTK)","Mesta Hiou, Greece (MHI)",POSEIDON HELLAS,DODEKANISSOS SEAWAYS,4.0,3.0,Cabin-2 Beds (Ext.) [AA2],79.0,College Student,29.7326772459921,2022-07-17,09:48:43,1900-01-01 23:13:43,F,1997-03-21,United States Minor Outlying Islands,086.775.4143x8522,Carolyn,Schneider,Carolyn.Schneider@gmail.com,GB19OHYM43499611003808,Carolyn,Schneider,01/26
36,"Epidavros, Greece (EPI)","Glyfada Saronikou, Greece (GFD)",FLYINGCAT 6,SEA SPEED FERRIES,3.0,3.0,Aviation Seat [ATS],471.0,College Student,84.69032461670875,2023-01-29,18:31:09,1900-01-02 07:03:09,M,2002-07-21,Kiribati,389-308-4359,Frederick,Frazier,Frederick.Frazier@gmail.com,GB61PGGT24666274017108,Frederick,Frazier,04/32
37,"Leonidion, Greece (LND)","Thasos, Greece (TSO)",PROTEAS,ZANTE FERRIES ,6.0,3.0,Cabin-3 Beds [AB3],211.0,Having many children,98.7474170987062,2010-12-02,06:03:12,1900-01-01 11:31:12,M,1991-01-17,Italy,001-710-865-6075x396,Daniel,Munoz,Daniel.Munoz@gmail.com,GB15ZQJF51859234669931,Daniel,Munoz,08/27
38,"Kontias Limnou, Greece (KNS)","Agia Kyriaki (Trikeri Magnisia), Greece (AKM)",PROTEAS,ΑΤΤΙCA GROUP,3.0,4.0,Aviation Seat [ATS],107.0,Having many children,92.04748137412521,2017-01-03,07:36:53,1900-01-01 13:08:53,M,1977-01-27,Jordan,+1-783-210-3992x072,Daniel,Guerrero,Daniel.Guerrero@gmail.com,GB21XZEE08571530492576,Daniel,Guerrero,06/25
39,"Frikes Ithakis, Greece (SAT)","Astypalaia, Greece (JTY)",CONTESSA DI LEVANTE,SEA SPEED FERRIES,8.0,8.0,Deck/Living Room [D] ,275.0,Three Children,91.48004099329708,1980-07-02,08:37:41,1900-01-01 17:31:41,M,2001-01-28,Qatar,0621420691,Patrick,Chang,Patrick.Chang@gmail.com,GB74FTIW16007941875240,Patrick,Chang,09/29
40,"Eydilos, Greece (EYD)","ERESSOS LESBOU, Greece (737)",DIONYSIOS SOLOMOS,ANEK LINES,1.0,2.0,Cabin-2 Beds [A2K],125.0,Hoplites,87.70553395733627,2010-10-16,03:09:53,1900-01-01 20:03:53,M,1979-10-17,Lao People's Democratic Republic,145.323.4690,Robert,Calhoun,Robert.Calhoun@gmail.com,GB29IKWI85830673766174,Robert,Calhoun,12/31
41,"Katapola, Greece (KTP)","Volissos (Limnia) Chios, Greece (VLC)",SUPER STAR,FAST FERRIES,7.0,5.0,Cabin-4 Beds [AB4],66.0,Having many children,99.66512377144734,2001-07-08,23:41:54,1900-01-02 10:32:54,M,1979-07-28,British Indian Ocean Territory (Chagos Archipelago),709.646.4064x671,Daniel,Rodriguez,Daniel.Rodriguez@gmail.com,GB26VGJJ95200094303294,Daniel,Rodriguez,08/26
42,"Samos, Greece (SMI)","KALLONE LESBOU, Greece (743)",EUDOKIA,LEBANTE FERRIES,9.0,9.0,Cabin-2 Beds [A2K],152.0,Retired NAT,46.85142580782746,2000-02-03,14:08:12,1900-01-02 03:36:12,F,1995-11-17,Poland,001-704-256-8980,Emily,Nguyen,Emily.Nguyen@gmail.com,GB35SHHB72072337133874,Emily,Nguyen,05/24
43,"Oia Kyklades, Greece (OIK)","ΕΙΝΑΙ Ο ΠΑΛΙΟΣ ΚΩΔΙΚΟΣ ΓΙΑ ΤΟ ΠΕΥΚΙ ΕΥΒΟΙΑΣ, Greece (814)",DIONYSIOS SOLOMOS,ANEK LINES,7.0,5.0,Deck/Living Room [D] ,214.0,Retired NAT,42.694313705833444,2020-11-04,07:07:21,1900-01-01 13:56:21,F,1985-07-29,Netherlands Antilles,556-890-0886x682,Leah,Sellers,Leah.Sellers@gmail.com,GB35DGHZ36679764638374,Leah,Sellers,06/30
44,"Thasos, Greece (TSO)","Lagos (Porto-Lago), Greece (PTL)",DODEKANISOS PRIDE,LEBANTE FERRIES,5.0,6.0,Cabin-4 Beds [AB4],184.0,No discount,22.369816232639586,2017-09-13,22:26:03,1900-01-02 08:49:03,F,1971-06-20,South Africa,805.664.4515x093,Kayla,Vazquez,Kayla.Vazquez@gmail.com,GB38CHEH81872174578662,Kayla,Vazquez,12/24
45,"Glyfada Saronikou, Greece (GFD)","Tilos, Greece (TIL)",SEMPEKO,ZANTE FERRIES ,4.0,4.0,Cabin-4 Beds [AB4],351.0,Hoplites,37.81393358250159,2016-07-01,17:39:01,1900-01-02 12:32:01,M,2002-02-01,Somalia,(730)810-8837,Jeffrey,Thomas,Jeffrey.Thomas@gmail.com,GB17HMBH49685678229386,Jeffrey,Thomas,11/28
46,"Patras, Greece (GPA)","PORTO LAPHIA EUBOIAS, Greece (821)",EXPRESS SKIATHOS,ZANTE FERRIES ,2.0,3.0,Deck/Living Room [D] ,74.0,Retired NAT,11.30214888473044,1984-03-17,15:39:33,1900-01-02 07:35:33,M,1997-07-30,China,2303479443,Matthew,Hancock,Matthew.Hancock@gmail.com,GB75VACX42836524240238,Matthew,Hancock,04/27
47,"ERESSOS LESBOU, Greece (737)","Akhillion, Greece (AKH)",SMYRNA DI LEVANTE,SARONIC FERRIES,5.0,4.0,Cabin-2 Beds (Ext.) [AA2],369.0,College Student,25.794336570458817,1987-10-31,04:48:06,1900-01-01 07:11:06,F,1991-04-04,Yemen,+1-507-441-7180x889,Teresa,Rollins,Teresa.Rollins@gmail.com,GB65ZQWP80405326216507,Teresa,Rollins,09/26
48,"Oia Kyklades, Greece (OIK)","AGIOKAMPOS EUBOIAS (OREON), Greece (AOR)",ASTERION II,FAST FERRIES,6.0,1.0,Cabin-2 Beds (Ext.) [AA2],283.0,Retired NAT,26.434230279604524,2015-06-14,01:01:47,1900-01-01 03:54:47,F,2004-08-31,Kenya,(937)599-2899,Nicole,Romero,Nicole.Romero@gmail.com,GB03HNMC34575631457894,Nicole,Romero,11/24
49,"Dombraina Boiotias, Greece (DMB)","Menidi, Greece (MEN)",APOLLON HELLAS,DODEKANISSOS SEAWAYS,1.0,1.0,Cabin-3 Beds (Ext.) [A3],498.0,Three Children,75.65179293313822,1973-02-13,19:56:07,1900-01-02 05:34:07,F,1990-04-20,Israel,(317)627-9647x046,Renee,Banks,Renee.Banks@gmail.com,GB74SMAA42464314922742,Renee,Banks,09/27
50,"Volissos (Limnia) Chios, Greece (VLC)","Skaloma, Greece (SKM)",MEGAJET,LEBANTE FERRIES,7.0,1.0,Deck/Living Room [D] ,12.0,Having many children,20.472903685109593,2021-11-13,01:18:34,1900-01-01 06:11:34,F,2004-07-11,Tokelau,404.471.5166x006,Kaitlin,Gray,Kaitlin.Gray@gmail.com,GB20CGYQ30320223398794,Kaitlin,Gray,05/30
51,"Kalamata, Greece (KLX)","KITROS PIERIAS, Greece (753)",NIKOLAOS,ALPHA LINES,8.0,9.0,Cabin-2 Beds (Ext.) [AA2],66.0,Having many children,24.74052590606178,1977-06-04,01:47:19,1900-01-01 05:53:19,M,1982-01-19,Cyprus,(671)591-4936x79238,Martin,Montgomery,Martin.Montgomery@gmail.com,GB22DLNG76093156450135,Martin,Montgomery,11/24
52,"Lixuri, Greece (LIX)","Stratoni, Greece (STI)",AERO 2 HIGHSPEED,ΑΤΤΙCA GROUP,9.0,1.0,Aviation Seat [ATS],422.0,Retired NAT,65.06865238964504,1987-10-05,13:45:11,1900-01-02 03:59:11,F,1993-12-21,Grenada,667-566-2870,Susan,Harvey,Susan.Harvey@gmail.com,GB86TJXN60908706803912,Susan,Harvey,07/24
53,"Isthmia, Greece (ITM)","Saint George, Greece (SGB)",WORLDCHAMPION JET,AEGEAN FLYING DOLPHINS,9.0,1.0,Cabin-4 Beds [A4K],96.0,College Student,92.96356410535377,1991-09-19,18:04:20,1900-01-02 06:30:20,F,1990-06-09,Bhutan,+1-717-164-7661x676,Kelly,Dudley,Kelly.Dudley@gmail.com,GB53ZVGM07579808884835,Kelly,Dudley,07/30
54,"Skafidia, Greece (SKD)","Kamares Sifnos, Greece (KRE)",PAROS JET,SEA SPEED FERRIES,1.0,1.0,Deck/Living Room [D] ,444.0,Having many children,68.12442893545233,2021-04-21,10:23:24,1900-01-02 04:41:24,F,1983-06-13,Cape Verde,055-795-3110x22203,Tiffany,Charles,Tiffany.Charles@gmail.com,GB23VYEH16650823481619,Tiffany,Charles,06/32
55,"EPANOME THESSALONIKES, Greece (735)","Diakofti Kythiron, Greece (DIK)",PANAGIA SPILIANI,ANE KALYMNOU,2.0,1.0,Cabin-4 Beds [A4K],417.0,Hoplites,43.41581055522175,2020-08-08,04:41:57,1900-01-01 06:07:57,F,1991-08-16,Cambodia,(568)042-6224,Gina,Hughes,Gina.Hughes@gmail.com,GB77EXMN85218377096655,Gina,Hughes,08/32
56,"Farmakonissi Dodekanissos, Greece (FAM)","Kastellorizou (ex Megisti), Greece (KAS)",MEGAJET,FAST FERRIES,10.0,10.0,Cabin-4 Beds [A4K],441.0,College Student,44.77150937443484,2000-11-02,12:00:17,1900-01-01 17:15:17,F,2001-01-06,Yemen,(924)539-7862,Tammy,Sanford,Tammy.Sanford@gmail.com,GB70UXTH43975307125159,Tammy,Sanford,08/27
57,"Agios Konstantinos, Greece (AKO)","MARONEIA SETEIAS, Greece (774)",F/B PREVELIS,ANEK LINES,3.0,1.0,Aviation Seat [ATS],427.0,Three Children,65.56040101567332,1981-03-02,18:17:24,1900-01-01 23:59:24,M,1971-05-10,Saint Helena,428.066.8934x3860,Kenneth,Bishop,Kenneth.Bishop@gmail.com,GB21KJOR30888566289894,Kenneth,Bishop,10/23
58,"Yali Island, Greece (YLI)","NEOS MARMARAS KHALKIDIKES, Greece (793)",ANDREAS KALVOS,SARONIC FERRIES,8.0,3.0,Cabin-2 Beds (Ext.) [A2],373.0,No discount,79.25412397988919,1981-10-21,13:42:36,1900-01-01 18:19:36,M,1981-06-17,Ethiopia,(860)663-4456,Alejandro,Martinez,Alejandro.Martinez@gmail.com,GB13FPHB78499302642106,Alejandro,Martinez,02/25
59,"Monemvasia, Greece (MON)","Rhodes, Greece (RHO)",THEOLOGOS P,ANE KALYMNOU,4.0,5.0,Aviation Seat [ATS],469.0,Having many children,96.30702891999917,1997-09-10,08:39:04,1900-01-01 17:26:04,F,1976-08-29,Thailand,(454)024-0779,Andrea,Thomas,Andrea.Thomas@gmail.com,GB36PJOM41577574189819,Andrea,Thomas,01/28
60,"Kalymnos, Greece (KMI)","Politika, Greece (PTK)",SUPERFAST XI,MIKRES KYKLADES,6.0,5.0,Cabin-3 Beds (Ext.) [A3],366.0,Having many children,62.021855737448085,2003-06-07,13:04:52,1900-01-02 01:56:52,M,1993-02-22,Lithuania,055-569-6391,Omar,Vaughan,Omar.Vaughan@gmail.com,GB69DENO19626505372704,Omar,Vaughan,01/30
61,"MULOI ARGOUS, Greece (784)","Poros Trizinias, Greece (PTR)",AGIOS NEKTARIOS,NOVA FERRIES,5.0,3.0,Cabin-2 Beds (Ext.) [A2],81.0,Having many children,84.93615117565221,2018-09-19,03:17:35,1900-01-01 11:48:35,M,2000-01-14,Pakistan,038.101.7178x0961,Matthew,Esparza,Matthew.Esparza@gmail.com,GB75ELDB49407257576165,Matthew,Esparza,07/24
62,"Kastelli Kissamou, Greece (KIS)","Kefalos Ko, Greece (KEF)",BLUE STAR CHIOS,MINOAN LINES,10.0,8.0,Deck/Living Room [D] ,2.0,Having many children,48.043668715154766,1974-02-10,12:28:19,1900-01-01 21:06:19,M,1986-01-13,Cuba,(227)930-8880x3889,Tyler,Reyes,Tyler.Reyes@gmail.com,GB40GVQF21591819655882,Tyler,Reyes,08/23
63,"Anafi, Greece (ANA)","Alexandroupolis, Greece (AXD)",SUPERFAST II,KERKYRAIKES GRAMMES,2.0,3.0,Cabin-4 Beds [AB4],455.0,No discount,90.0817979825852,2005-05-25,12:47:54,1900-01-01 15:37:54,M,1973-03-14,Falkland Islands (Malvinas),195.515.7878x2681,James,James,James.James@gmail.com,GB52GGBF77924683835855,James,James,07/28
64,"Gavdos Chanea, Greece (GAD)","Assos, Greece (SOS)",AQUA BLUE,SEA SPEED FERRIES,2.0,2.0,Cabin-4 Beds (Ext.) [A4],65.0,Hoplites,85.76478908699033,1978-12-11,19:16:08,1900-01-02 04:48:08,M,1993-12-14,British Virgin Islands,001-053-520-8180x221,Matthew,Erickson,Matthew.Erickson@gmail.com,GB80VZXN27778599613917,Matthew,Erickson,01/31
65,"Suda Bay, Greece (SUD)","Pelasyia, Greece (PEL)",HIGH SPEED JET,ANEK LINES,4.0,4.0,Cabin-2 Beds [A2K],127.0,Hoplites,98.11507197981528,2016-01-14,03:58:11,1900-01-01 18:40:11,M,1999-04-28,Armenia,967.184.3219x407,Brian,Benson,Brian.Benson@gmail.com,GB26OSAF32415537602345,Brian,Benson,06/23
