fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
"Skafidia, Greece (SKD)","PAKHEIA AMMOS IERAPETRA, Greece (810)",SUPERFAST I,MINOAN LINES,10.0,8.0,Cabin-3 Beds [AB3],440.0,College Student,74.85743556482012,1983-05-15,05:39:41,1900-01-01 20:39:41,M,1977-03-28,Gabon,001-007-075-1843,Christopher,Zuniga,Christopher.Zuniga@gmail.com,GB95CGMR79472449604508,Christopher,Zuniga,03/31
"Kardamaina Kos, Greece (KRM)","Pissaetos Ithakis, Greece (PIS)",RAPIDLINK JET,ANEK LINES,1.0,2.0,Cabin-2 Beds (Ext.) [A2],430.0,Having many children,60.834807902752175,2006-11-25,23:31:14,1900-01-02 17:38:14,F,1995-03-04,Ireland,(191)705-5521,Lisa,Liu,Lisa.Liu@gmail.com,GB42UNZF48520094224470,Lisa,Liu,11/24
"PANORMITES SUMES, Greece (088)","Kalymnos, Greece (KMI)",AQUA JEWEL,GOUTOS LINES,2.0,1.0,Cabin-4 Beds [A4K],71.0,No discount,87.38952916350654,1978-12-22,16:22:26,1900-01-02 06:41:26,F,1986-10-31,China,053-197-5655,Brittany,Roberts,Brittany.Roberts@gmail.com,GB73DKSF06367861500828,Brittany,Roberts,10/26
"Edipsos, Greece (EDI)","Pissaetos Ithakis, Greece (PIS)",ANDROS JET,KERKYRAIKES GRAMMES,6.0,1.0,Aviation Seat [ATS],155.0,Three Children,15.29217823384464,2015-07-28,03:55:45,1900-01-01 12:21:45,M,1984-01-10,Philippines,7376019011,Anthony,Martin,Anthony.Martin@gmail.com,GB46GABT10095705945558,Anthony,Martin,11/27
"PANAGIOUDA LESBOU, Greece (807)","Phserimos Dodekanisou, Greece (PSE)",ARIADNI,NOVA FERRIES,4.0,3.0,Cabin-4 Beds [A4K],444.0,Having many children,26.368790873883757,2018-05-21,21:51:33,1900-01-02 04:20:33,F,2003-12-27,Lebanon,(668)231-2285,Renee,Cruz,Renee.Cruz@gmail.com,GB22MVPN70719213894856,Renee,Cruz,05/30
"Argostolion, Greece (ARM)","Piraeus, Greece (PIR)",WORLDCHAMPION JET,NOVA FERRIES,6.0,3.0,"Deck/Living Room [D] ",397.0,Hoplites,51.057062651814874,2003-06-16,23:44:03,1900-01-02 05:05:03,M,1996-01-15,Greenland,491.222.3208,Jeremy,Brown,Jeremy.Brown@gmail.com,GB58KRZL12098922366343,Jeremy,Brown,12/29
"PORTO KARRA KHALKIDIKES, Greece (854)","NEA PERAMOS, Greece (902)",ARIADNI,IONION PELAGOS NE,1.0,2.0,Cabin-2 Beds [A2K],304.0,No discount,34.34762306926079,1972-04-22,10:53:41,1900-01-02 05:59:41,M,1997-04-17,Andorra,1164748544,Daniel,Foster,Daniel.Foster@gmail.com,GB16EJIV54656514854969,Daniel,Foster,10/23
"Eretria, Greece (ERE)","Kythnos, Greece (KYT)",KALYMNOS DOLPHIN,MINOAN LINES,7.0,3.0,Cabin-4 Beds (Ext.) [A4],359.0,Three Children,21.885990119583145,1992-03-16,14:36:30,1900-01-01 21:52:30,M,1980-06-16,Peru,001-628-953-8589,Kirk,Bray,Kirk.Bray@gmail.com,GB24VSGE61664664285663,Kirk,Bray,05/29
"Kiparissia, Greece (KIP)","ARMENISTES RODOU, Greece (718)",SUPER STAR,GOUTOS LINES,9.0,1.0,Cabin-4 Beds (Ext.) [A4],35.0,Having many children,55.23054369150463,1994-10-24,10:36:13,1900-01-01 21:39:13,M,2002-01-21,Dominica,537-587-2218,Corey,Craig,Corey.Craig@gmail.com,GB22BFOW71622993450601,Corey,Craig,12/28
"Peyki Evvoias, Greece (PYV)","Skaramangas, Greece (SKA)",HSC CAT,KATEROS,3.0,2.0,Cabin-3 Beds [AB3],132.0,Retired NAT,81.92501014117705,1973-03-30,02:05:39,1900-01-01 04:59:39,F,1985-08-10,Ukraine,090-072-5682,Samantha,Parker,Samantha.Parker@gmail.com,GB72AGIA74329334818522,Samantha,Parker,03/28
"KITROS PIERIAS, Greece (753)","MOURTOS THESPROTIAS, Greece (781)",FLYINGCAT 3,TWOWAY FERRIES,7.0,7.0,Cabin-2 Beds (Ext.) [AA2],327.0,No discount,74.8024536308808,1993-07-19,19:16:46,1900-01-02 02:24:46,F,1998-04-15,Switzerland,(642)074-0642,Kimberly,Fuller,Kimberly.Fuller@gmail.com,GB28AMYQ31096487814054,Kimberly,Fuller,09/31
"Skiros, Greece (SKU)","Skaramangas, Greece (SKA)",Η/S/F KYDON PALACΕ,TRITON FERRIES,3.0,1.0,Cabin-2 Beds [A2K],270.0,Hoplites,20.698765529295244,2009-04-04,12:42:36,1900-01-02 02:56:36,F,1983-06-04,Switzerland,6453322394,Monica,Richardson,Monica.Richardson@gmail.com,GB59EFRS89127713124323,Monica,Richardson,02/31
"Stavros Halkidikis, Greece (SHA)","Xirokambion, Greece (XKB)",STAVROS,FAST FERRIES,2.0,2.0,Cabin-4 Beds [A4K],329.0,No discount,94.99931943102521,1992-07-18,22:34:00,1900-01-02 03:06:00,F,1977-03-03,Mali,884-135-0369,Michelle,Howell,Michelle.Howell@gmail.com,GB59PSTD70181751101334,Michelle,Howell,03/27
"Mathraki Diapontioi Island, Greece (MTR)","Nea Moudhania, Greece (NMA)",ATHINA,SAOS,7.0,4.0,Cabin-4 Beds [AB4],404.0,Having many children,44.59700779067845,1971-11-06,09:19:45,1900-01-01 18:44:45,M,2001-12-15,Jordan,(100)073-7769,Charles,Jordan,Charles.Jordan@gmail.com,GB05WSRQ30192004087717,Charles,Jordan,02/24
"Pyrgos, Greece (PYR)","Astypalaia, Greece (JTY)",ALKINOOS,ANE KALYMNOU,10.0,2.0,Cabin-4 Beds [A4K],86.0,College Student,37.426207016677864,2015-10-18,04:40:29,1900-01-01 19:32:29,M,2003-12-17,Bahamas,014-855-0498,Dominic,Walker,Dominic.Walker@gmail.com,GB56VEDA39565996181547,Dominic,Walker,03/33
"Kalamos Island (Lefkada), Greece (KAI)","Saint Nicolas, Greece (STN)",SEAJET2,SARONIC FERRIES,10.0,6.0,Cabin-4 Beds [A4K],37.0,Three Children,26.774874987624344,1973-01-10,10:44:02,1900-01-01 17:13:02,F,2000-09-23,Taiwan,592-381-1455,Leah,Simpson,Leah.Simpson@gmail.com,GB92DJBX96083700105203,Leah,Simpson,06/29
"Eretria, Greece (ERE)","Eleusina, Greece (EEU)",BLUE STAR PATMOS,KARISTIA,3.0,1.0,Cabin-3 Beds [AB3],268.0,Retired NAT,90.73229692437837,2014-07-04,01:10:10,1900-01-01 07:42:10,F,1982-04-19,Croatia,8699242901,Audrey,Jackson,Audrey.Jackson@gmail.com,GB69XRZB89250612047306,Audrey,Jackson,05/29
"AGIOKAMPOS EUBOIAS (OREON), Greece (AOR)","Mesta Hiou, Greece (MHI)",AQUA BLUE,DODEKANISSOS SEAWAYS,1.0,1.0,Cabin-2 Beds (Ext.) [AA2],228.0,Having many children,46.40770469491557,2017-07-10,12:14:30,1900-01-01 13:22:30,F,1974-12-15,Norfolk Island,664.309.5657,Stephanie,Miller,Stephanie.Miller@gmail.com,GB72NSLQ19499540856252,Stephanie,Miller,08/27
"Trypiti Chalkidikis, Greece (TRY)","Larymna, Greece (LRY)",KERKYRA EXPRESS,SEBECO LINES,1.0,2.0,Cabin-4 Beds [AB4],442.0,Hoplites,87.43935815099516,2019-01-11,09:11:45,1900-01-01 18:03:45,F,1993-05-19,Angola,(775)208-8678,Cheryl,Gutierrez,Cheryl.Gutierrez@gmail.com,GB27OYIW63809590105518,Cheryl,Gutierrez,09/27
"PAMPHILA LESBOU, Greece (806)","Kalamata, Greece (KLX)",F/B ΕLYROS,ALPHA LINES,3.0,2.0,Cabin-3 Beds (Ext.) [A3],364.0,No discount,97.17182191160283,1979-11-26,15:21:43,1900-01-02 06:12:43,F,1985-03-05,Vanuatu,720-394-5668,Julie,Knox,Julie.Knox@gmail.com,GB77ZISC86396234943953,Julie,Knox,06/23
"Assos, Greece (SOS)","Keramoti, Greece (KER)",THUNDER,GOUTOS LINES,10.0,8.0,Cabin-4 Beds [A4K],292.0,Hoplites,56.66419299084126,2020-07-28,17:28:21,1900-01-02 08:52:21,F,2000-01-29,Anguilla,851.285.2145,Erika,Riley,Erika.Riley@gmail.com,GB02EKTB53854993404924,Erika,Riley,01/33
"Perama Geras Mytilinis, Greece (PGM)","Achladi, Greece (ACL)",HIGH SPEED JET,SEBECO LINES,3.0,4.0,Cabin-4 Beds [A4K],86.0,Having many children,71.6470710303301,1993-05-04,20:32:04,1900-01-02 12:15:04,M,2001-12-02,Ireland,(741)569-2374,Hector,King,Hector.King@gmail.com,GB86SMVC19416655361987,Hector,King,06/32
"DERBENI KORINTHIAS, Greece (730)","PSATHOPURGOS AKHAIAS, Greece (848)",ANTIGONI,"ZANTE FERRIES ",3.0,3.0,Cabin-4 Beds [AB4],21.0,Hoplites,27.19132207712891,1994-08-13,05:21:52,1900-01-01 10:00:52,M,1978-02-01,Montserrat,0329270359,Richard,Brooks,Richard.Brooks@gmail.com,GB78WQCF92753816678570,Richard,Brooks,04/29
"PISO LIVADI PAROS, Greece (857)","Chios, Greece (JKH)",SUPERFAST I,NOVA FERRIES,9.0,5.0,"Deck/Living Room [D] ",346.0,Three Children,15.48615521623838,2015-12-05,15:09:14,1900-01-02 09:16:14,F,2004-08-15,Tajikistan,+1-396-380-3410,Melissa,West,Melissa.West@gmail.com,GB66LXWB13827029008720,Melissa,West,01/25
"AGIOKAMPOS EUBOIAS (OREON), Greece (AOR)","Agios Stefanos Corfu, Greece (ASF)",Η/S/F KNOSSOS PALACΕ,MINOAN LINES,3.0,1.0,Aviation Seat [ATS],321.0,Three Children,20.57664107791944,2016-07-04,01:52:07,1900-01-01 07:23:07,F,1973-10-02,Pitcairn Islands,1003206561,Anna,Smith,Anna.Smith@gmail.com,GB39HXKF11296512019702,Anna,Smith,03/25
"Naoussa Parou, Greece (NAS)","Glyfada Saronikou, Greece (GFD)",KALYMNOS DOLPHIN,KARISTIA,2.0,3.0,Cabin-3 Beds [AB3],305.0,Having many children,27.596685065548908,1993-11-23,22:45:59,1900-01-02 15:42:59,F,1988-07-15,Saint Helena,760-960-7458,Heidi,Fowler,Heidi.Fowler@gmail.com,GB09ZGRT84634507273045,Heidi,Fowler,09/32
"Amfilochia, Greece (AMF)","NEOS MARMARAS KHALKIDIKES, Greece (793)",SIMI,SARONIC FERRIES,8.0,3.0,Cabin-3 Beds (Ext.) [A3],322.0,Having many children,49.841566657454024,2006-02-06,08:57:25,1900-01-01 19:19:25,F,2003-02-05,Norfolk Island,371-606-2194,Lisa,Wilson,Lisa.Wilson@gmail.com,GB41YTIZ28196521751823,Lisa,Wilson,12/28
"TUROS ARKADIAS, Greece (840)","Kalamata, Greece (KLX)",CONTESSA DI LEVANTE,SEBECO LINES,4.0,4.0,Cabin-4 Beds [AB4],416.0,Hoplites,73.40546698048519,2012-03-20,20:25:26,1900-01-02 16:02:26,F,1971-07-23,Botswana,252-845-5926,Heather,Meyer,Heather.Meyer@gmail.com,GB16SYZL90285744085057,Heather,Meyer,12/24
"Karystos, Greece (KST)","Karpathos, Greece (AOK)",F/B KIDON,AEGEAN FLYING DOLPHINS,9.0,4.0,Cabin-4 Beds [AB4],288.0,Hoplites,77.4044944052355,2013-12-21,10:41:33,1900-01-01 16:49:33,M,1986-01-11,Malta,+1-100-808-2571,Andrew,Peterson,Andrew.Peterson@gmail.com,GB44MXAE46335885191170,Andrew,Peterson,05/26
"Delos, Greece (DOS)","Antiparos, Greece (ANP)",MARMARI EXPRESS,KATEROS,9.0,6.0,Cabin-4 Beds (Ext.) [A4],251.0,Three Children,94.98891736854534,2006-12-27,01:09:37,1900-01-01 16:44:37,M,2001-09-23,Gabon,(572)219-0833,John,Joseph,John.Joseph@gmail.com,GB55RGEO12700108043889,John,Joseph,12/29
"Pelasyia, Greece (PEL)","Glossa, Greece (GLO)",Η/S/F KYDON PALACΕ,ANES FERRIES,8.0,9.0,Cabin-4 Beds [A4K],15.0,College Student,36.01310297656475,1981-03-03,08:26:28,1900-01-01 22:58:28,F,1997-02-21,Ukraine,001-674-543-8061,Michelle,Nixon,Michelle.Nixon@gmail.com,GB39LDWZ63184776140051,Michelle,Nixon,02/30
"Kapsalion (Kythira), Greece (KAP)","Agia Galini Rethimnou, Greece (PIL)",AGIA THEODORA,DODEKANISSOS SEAWAYS,3.0,4.0,Cabin-2 Beds (Ext.) [AA2],51.0,Hoplites,85.91926594463399,2005-02-05,01:24:57,1900-01-01 12:44:57,M,1990-01-29,Colombia,740.229.8041,Tyler,Lozano,Tyler.Lozano@gmail.com,GB17XWCH32968551776957,Tyler,Lozano,09/24
"Potamos Antikithera, Greece (POA)","Kastelli Kissamou, Greece (KIS)",MENEKRATIS,"ZANTE FERRIES ",3.0,4.0,Cabin-4 Beds (Ext.) [A4],347.0,Hoplites,81.29456026813381,1992-11-25,12:29:04,1900-01-02 04:55:04,M,1985-04-16,Austria,6110584649,Raymond,Russell,Raymond.Russell@gmail.com,GB95TEAC73275628534496,Raymond,Russell,04/23
"Faneromeni Salaminas, Greece (FNR)","KOULOURA AIGIOU, Greece (760)",FIOR DI LEVANTE,MINOAN LINES,6.0,5.0,Cabin-4 Beds [A4K],189.0,Three Children,79.66520894295375,1975-11-30,20:17:44,1900-01-02 10:27:44,M,1995-02-15,Andorra,609.927.2462,Robert,Green,Robert.Green@gmail.com,GB43XEPD74257812959073,Robert,Green,07/28
"Glyfada Saronikou, Greece (GFD)","Agria, Greece (AGA)",DODEKANISOS PRIDE,AGIA MARINI NE,1.0,1.0,Cabin-4 Beds [A4K],326.0,Having many children,36.844981961735876,1983-09-03,13:02:06,1900-01-01 16:55:06,F,1993-01-20,Ukraine,3173562750,Faith,Jones,Faith.Jones@gmail.com,GB63NTMO37671443187305,Faith,Jones,02/24
"Kiato, Greece (KIO)","Lefkada (Lefkas), Greece (LEV)",MARE DI LEVANTE,MIKRES KYKLADES,8.0,9.0,Cabin-4 Beds [AB4],410.0,College Student,37.84929515861914,2022-04-04,21:03:58,1900-01-02 04:46:58,M,1998-12-29,Slovenia,+1-411-629-2019,William,Ruiz,William.Ruiz@gmail.com,GB94UKIB33988826077136,William,Ruiz,03/27
"Vassiliki Leykadas, Greece (VSS)","Oia Kyklades, Greece (OIK)",SEMPEKO,DODEKANISSOS SEAWAYS,2.0,2.0,Cabin-3 Beds [AB3],38.0,Three Children,48.87527373983862,2009-10-29,16:43:36,1900-01-02 09:10:36,F,1976-02-17,Brazil,820.435.9082,Sherri,Martinez,Sherri.Martinez@gmail.com,GB05HZIT40097094108579,Sherri,Martinez,07/32
"PSATHOPURGOS AKHAIAS, Greece (848)","Kimolos, Greece (KMS)",MASTERJET,GOUTOS LINES,5.0,5.0,"Deck/Living Room [D] ",126.0,Having many children,55.508223609937964,1985-09-26,00:21:08,1900-01-01 03:41:08,F,1973-04-10,Kiribati,4837607744,Jennifer,Matthews,Jennifer.Matthews@gmail.com,GB42XMOK30772716737772,Jennifer,Matthews,06/31
"Seriphos, Greece (SER)","Vrisakia, Greece (VRI)",F/B PORFYROUSA,TWOWAY FERRIES,9.0,10.0,Cabin-3 Beds [AB3],388.0,Having many children,54.750181006121274,2007-07-03,14:13:12,1900-01-02 08:31:12,F,1980-08-18,Austria,901.222.3520,Kelly,Santiago,Kelly.Santiago@gmail.com,GB61YWJP97708651549398,Kelly,Santiago,03/33
"Stylida (Stylis), Greece (SYS)","Lefkada (Lefkas), Greece (LEV)",FIOR DI LEVANTE,AEGEAN FLYING DOLPHINS,5.0,2.0,"Deck/Living Room [D] ",362.0,Hoplites,40.765856862574736,1975-07-02,14:15:06,1900-01-01 17:57:06,M,1990-02-06,United States of America,674-125-1246,Benjamin,Williams,Benjamin.Williams@gmail.com,GB84LOOQ56740508882577,Benjamin,Williams,04/25
"Paloukia, Greece (PAO)","EPANOME THESSALONIKES, Greece (735)",Η/S/F KYDON PALACΕ,LEBANTE FERRIES,5.0,3.0,Cabin-3 Beds [AB3],146.0,No discount,60.55534099203777,1991-06-14,01:43:17,1900-01-01 05:23:17,M,1999-08-09,Slovakia (Slovak Republic),+1-341-122-3693,Christopher,Rivera,Christopher.Rivera@gmail.com,GB10YITF62399276273929,Christopher,Rivera,05/32
"Vrisakia, Greece (VRI)","Skopelos, Greece (SKO)",MARE DI LEVANTE,ΑΤΤΙCA GROUP,3.0,2.0,Cabin-2 Beds (Ext.) [A2],110.0,Having many children,53.6789682611855,1971-06-10,03:06:43,1900-01-01 13:17:43,F,1988-07-15,Turkmenistan,676-290-5054,Judith,Nichols,Judith.Nichols@gmail.com,GB68TPXM71759052876951,Judith,Nichols,12/26
"Gavdos Chanea, Greece (GAD)","Paloukia, Greece (PAO)",AERO 2 HIGHSPEED,TWOWAY FERRIES,6.0,6.0,Cabin-4 Beds (Ext.) [A4],337.0,Having many children,84.48850562004132,1976-01-04,05:21:06,1900-01-01 23:28:06,M,2004-08-03,Central African Republic,365.954.0252,Scott,Allen,Scott.Allen@gmail.com,GB67TIXE98640252377120,Scott,Allen,01/28
"Diafanion, Greece (DIA)","Agia Marina Fthiotidas, Greece (AGM)",ANTIGONI,FAST FERRIES,4.0,5.0,Cabin-4 Beds (Ext.) [A4],307.0,Hoplites,30.91402441579371,2005-02-09,05:34:10,1900-01-01 14:14:10,M,1984-11-24,Cameroon,001-020-072-3082,Adrian,Moody,Adrian.Moody@gmail.com,GB93PRYW20970568584121,Adrian,Moody,11/25
"Katerini, Greece (KEI)","Samos, Greece (SMI)",FLYING DOLPHIN 19,SEBECO LINES,9.0,9.0,Cabin-4 Beds [AB4],232.0,College Student,13.291838794924955,1970-12-30,06:15:20,1900-01-01 10:45:20,F,1988-05-30,Bulgaria,761.799.0560,Dana,Walker,Dana.Walker@gmail.com,GB97DCBP28732792565548,Dana,Walker,11/27
"Skopelos, Greece (SKO)","Othonoi, Greece (OTH)",MAKEDON,AEGEAN FLYING DOLPHINS,9.0,6.0,Aviation Seat [ATS],315.0,Hoplites,28.997151874472483,2010-09-20,09:06:41,1900-01-02 01:24:41,M,1998-10-10,Senegal,862.653.9418,Michael,Brown,Michael.Brown@gmail.com,GB16GBRG40683632505496,Michael,Brown,05/29
"Mirina, Greece (MYR)","Agia Roumeli, Greece (ROU)",BLUE STAR NAXOS,ANEK LINES,10.0,3.0,Cabin-2 Beds (Ext.) [AA2],139.0,Retired NAT,45.55254448574019,2003-11-20,20:13:50,1900-01-02 16:03:50,F,2000-12-05,Finland,006-769-4607,Tiffany,Harris,Tiffany.Harris@gmail.com,GB79YKYL95958657575491,Tiffany,Harris,02/29
"Molyvos, Greece (MOL)","Lefkada (Lefkas), Greece (LEV)",AQUA JEWEL,ANEK LINES,8.0,5.0,Cabin-2 Beds (Ext.) [A2],441.0,Hoplites,68.4280617788701,1972-08-07,16:37:47,1900-01-02 04:14:47,M,1980-09-18,Liberia,(680)363-3326,David,Day,David.Day@gmail.com,GB38DXKW75869016634210,David,Day,05/25
"PORTO LAPHIA EUBOIAS, Greece (821)","Pessada Kefallinnias, Greece (PSK)",FLYING DOLPHIN 17,KERKYRAIKES GRAMMES,8.0,5.0,Cabin-4 Beds [AB4],18.0,Hoplites,19.48419189083648,2013-05-30,09:06:09,1900-01-01 18:02:09,F,1991-06-16,Uzbekistan,(788)238-2672,Mindy,Hill,Mindy.Hill@gmail.com,GB49YXBF84887159902943,Mindy,Hill,03/32
"Palaia Epidavros, Greece (PEP)","Eleusina, Greece (EEU)",F/B ΕLYROS,ANES FERRIES,5.0,6.0,Cabin-2 Beds (Ext.) [AA2],105.0,Hoplites,41.05276494939265,1996-04-06,13:51:29,1900-01-02 04:43:29,F,1986-03-30,Uzbekistan,(731)631-2512,Tammy,Collins,Tammy.Collins@gmail.com,GB94MXUO89396080652405,Tammy,Collins,06/24
"Pessada Kefallinnias, Greece (PSK)","LOUTRAKI KORINTHIAS, Greece (769)",DODEKANISOS PRIDE,SEA SPEED FERRIES,8.0,6.0,Cabin-4 Beds (Ext.) [A4],259.0,Having many children,31.170316098257818,2006-09-06,02:56:16,1900-01-01 17:17:16,M,1989-09-19,Finland,+1-378-968-6147,Alan,Marsh,Alan.Marsh@gmail.com,GB33EHAM41295059606901,Alan,Marsh,01/26
"Mytilene, Greece (MJT)","Andirrion, Greece (ANT)",FAST FERRIES ANDROS,AGIA MARINI NE,4.0,5.0,Cabin-3 Beds [AB3],169.0,Three Children,29.791392902270598,1994-09-01,15:59:49,1900-01-01 23:45:49,M,1983-02-12,Monaco,+1-043-826-8724,Sean,Wu,Sean.Wu@gmail.com,GB53BHPG77019513552101,Sean,Wu,10/32
