fromHarbor,toHarbor,ship,shippingFirm,passengers,vehicles,position,seatNumber,discount,price,departureDate,departureTime,arrivalTime,gender,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration
"Psakhna, Greece (PSA)","Istanbul, Greece (TR-IST)",KALYMNOS DOLPHIN,SAOS,3.0,4.0,Cabin-4 Beds (Ext.) [A4],500.0,College Student,91.57505797026269,2014-04-20,09:23:09,1900-01-01 20:29:09,M,1996-03-11,Sao Tome and Principe,7443549745,Patrick,Young,Patrick.Young@gmail.com,GB94LBRV78096213327051,Patrick,Young,09/25
"Suda Bay, Greece (SUD)","KASSANDRA KHALKIDIKES, Greece (749)",ANTIGONI,SEA SPEED FERRIES,1.0,1.0,Cabin-2 Beds (Ext.) [AA2],338.0,No discount,10.898361689107102,1988-08-29,22:54:23,1900-01-02 04:26:23,F,1982-05-08,Mexico,535.561.3386,Stephanie,Burton,Stephanie.Burton@gmail.com,GB18CDNJ23158145760321,Stephanie,Burton,01/32
"Meganisi, Greece (MGN)","Oropos, Greece (ORO)",F/B IONIS,MIKRES KYKLADES,1.0,2.0,Cabin-2 Beds [A2K],46.0,College Student,91.05906789479067,2000-08-18,17:33:46,1900-01-02 08:58:46,F,1999-08-15,India,1766795710,Anita,Myers,Anita.Myers@gmail.com,GB52LRKI34845809863940,Anita,Myers,09/32
"Mastichari Kos, Greece (MXK)","Sami, Greece (SAI)",SUPER STAR,AGIA MARINI NE,3.0,1.0,Deck/Living Room [D] ,153.0,Retired NAT,12.724580787925422,1987-06-23,04:43:31,1900-01-01 22:49:31,M,1991-10-05,Albania,7406870318,Wesley,Kelly,Wesley.Kelly@gmail.com,GB50MAKX50529483896171,Wesley,Kelly,05/27
"Platygiali Etoloakarnanias, Greece (PLG)","Kalamos Island (Lefkada), Greece (KAI)",ARIADNI,ANE KALYMNOU,10.0,8.0,Cabin-4 Beds [A4K],366.0,Hoplites,95.94452536830447,2014-05-18,10:44:37,1900-01-01 21:32:37,M,1983-05-12,Tonga,681-946-7827,Kevin,Jimenez,Kevin.Jimenez@gmail.com,GB34NRLO25171515576494,Kevin,Jimenez,06/27
"Fiskardo, Greece (FIS)","Nisiros, Greece (NIS)",ANDROS JET,KERKYRAIKES GRAMMES,2.0,1.0,Cabin-2 Beds (Ext.) [AA2],59.0,Retired NAT,80.884252321878,1988-05-10,13:50:36,1900-01-02 00:41:36,M,1971-11-13,Slovakia (Slovak Republic),215.570.5309,Devon,Barnett,Devon.Barnett@gmail.com,GB82LUDI35783584149729,Devon,Barnett,01/28
"Klima, Greece (KLI)","Diakofti Kythiron, Greece (DIK)",SEAJET2,ANEK LINES,1.0,2.0,Deck/Living Room [D] ,395.0,Having many children,42.16232929727947,1999-02-12,12:30:38,1900-01-01 21:42:38,F,1992-02-27,Colombia,820.576.6849,Christina,Clark,Christina.Clark@gmail.com,GB64GAOE17291168414649,Christina,Clark,08/30
"ALUKE BOLOU, Greece (711)","Siteia, Greece (JSH)",F/B PREVELIS,MINOAN LINES,9.0,10.0,Cabin-4 Beds [A4K],473.0,Retired NAT,88.77338800421069,2017-12-31,06:00:54,1900-01-01 08:54:54,F,1991-06-08,Central African Republic,476-178-4580,Stacey,Cook,Stacey.Cook@gmail.com,GB66RKYC61974242652609,Stacey,Cook,05/27
"Ormos Panormou, Greece (PNT)","Oia Kyklades, Greece (OIK)",DIONYSIOS SOLOMOS,TWOWAY FERRIES,1.0,1.0,Cabin-2 Beds [A2K],104.0,Three Children,91.29278139548605,1971-05-13,14:07:29,1900-01-01 17:01:29,M,2001-11-18,Saint Martin,526.427.2778,Jeffrey,Hamilton,Jeffrey.Hamilton@gmail.com,GB84WOEW01656151604284,Jeffrey,Hamilton,12/29
"Kos, Greece (KGS)","Skaloma, Greece (SKM)",CONTESSA DI LEVANTE,ANE KALYMNOU,2.0,3.0,Cabin-2 Beds (Ext.) [A2],420.0,Hoplites,30.16597719888417,1994-12-13,06:01:19,1900-01-01 15:32:19,F,1991-04-28,Jersey,368-123-4876,Brittany,Weiss,Brittany.Weiss@gmail.com,GB22DIHX52797430911917,Brittany,Weiss,01/29
"Achladi, Greece (ACL)","Kastos Island, Greece (KSI)",H/S/C SANTORINI PALACE,TRITON FERRIES,1.0,2.0,Deck/Living Room [D] ,264.0,College Student,91.86404204242223,1976-11-04,12:09:35,1900-01-01 18:05:35,F,1989-06-23,Luxembourg,001-040-670-4296,Bethany,Smith,Bethany.Smith@gmail.com,GB22SHOA81058604801664,Bethany,Smith,08/32
"Nafplion, Greece (NAF)","Amaliapolis, Greece (APL)",ALKINOOS,AGIA MARINI NE,9.0,3.0,Cabin-3 Beds [AB3],31.0,No discount,60.84263722513707,2004-11-06,20:10:38,1900-01-01 23:53:38,F,1972-11-08,Martinique,2502003288,Nina,King,Nina.King@gmail.com,GB36NXBD33807107398212,Nina,King,07/30
"Glyfa Fthiotidas, Greece (GLY)","KUPARISSI LAKONIAS, Greece (762)",ASTERION II,ZANTE FERRIES ,2.0,2.0,Cabin-2 Beds (Ext.) [AA2],348.0,Hoplites,56.615827884308366,2022-03-29,23:30:14,1900-01-02 00:41:14,F,1975-01-13,Tunisia,612.244.0962,Melanie,Williams,Melanie.Williams@gmail.com,GB88YAOV67823299469454,Melanie,Williams,02/26
"Arkitsa, Greece (ARK)","Astypalaia, Greece (JTY)",SPORADES STAR,ALPHA LINES,2.0,3.0,Cabin-4 Beds [A4K],492.0,Having many children,20.624494576873893,1994-03-20,02:22:32,1900-01-01 19:19:32,M,1984-11-06,Switzerland,(899)779-0808,Joshua,Ramirez,Joshua.Ramirez@gmail.com,GB52PTMM86683696842224,Joshua,Ramirez,01/30
"Agios Nikolaos, Kriti, Greece (ANI)","Kassiopi Corfu, Greece (KSP)",FLYINGCAT 6,KARISTIA,4.0,3.0,Cabin-4 Beds (Ext.) [A4],386.0,College Student,76.66072269353059,2013-10-25,10:49:48,1900-01-02 05:49:48,M,1998-04-29,Ghana,7315889903,Jason,Smith,Jason.Smith@gmail.com,GB88KHUN86023519547639,Jason,Smith,02/24
"Eleftheres, Greece (ELT)","Koufonissia Kykladon, Greece (KOF)",BLUE STAR 1,IONION PELAGOS NE,9.0,5.0,Deck/Living Room [D] ,57.0,College Student,36.31828718679046,1997-11-15,16:49:43,1900-01-02 09:14:43,F,1997-09-26,Armenia,+1-260-362-4788,Deborah,Acosta,Deborah.Acosta@gmail.com,GB67MTZR65305131908477,Deborah,Acosta,01/30
"Prinos Thassou, Greece (PPI)","ΕΙΝΑΙ Ο ΠΑΛΙΟΣ ΚΩΔΙΚΟΣ ΓΙΑ ΤΟ ΠΕΥΚΙ ΕΥΒΟΙΑΣ, Greece (814)",ANTIGONI,TRITON FERRIES,3.0,1.0,Aviation Seat [ATS],44.0,College Student,31.78286511217499,2021-08-17,20:34:26,1900-01-01 22:55:26,F,1987-06-21,Tanzania,(844)793-5647,Deanna,White,Deanna.White@gmail.com,GB89FCUX03580922927110,Deanna,White,04/30
"Platygiali Etoloakarnanias, Greece (PLG)","Agios Efstratios, Greece (AGO)",HSC CAT,SAOS,1.0,1.0,Cabin-3 Beds (Ext.) [A3],424.0,Hoplites,63.752288636623284,2016-06-18,08:41:37,1900-01-02 04:14:37,F,1975-02-08,Israel,3804661691,Anne,Taylor,Anne.Taylor@gmail.com,GB74RSRE82244461546360,Anne,Taylor,05/26
"Marmari, Greece (MRM)","SUKAMINEA LESBOU, Greece (834)",DIONYSIOS SOLOMOS,SEA SPEED FERRIES,5.0,2.0,Cabin-2 Beds (Ext.) [A2],33.0,Retired NAT,46.52679183865903,2016-04-10,14:03:57,1900-01-01 17:30:57,M,1972-08-17,Turks and Caicos Islands,104.383.2925,Preston,Martin,Preston.Martin@gmail.com,GB86YNRX19188360476028,Preston,Martin,03/25
"Fiskardo, Greece (FIS)","EPANOME THESSALONIKES, Greece (735)",SIMI,MINOAN LINES,8.0,2.0,Aviation Seat [ATS],226.0,Hoplites,48.910551755553115,1982-12-27,03:19:42,1900-01-01 07:23:42,M,1973-08-19,Tanzania,302.698.3663,Bryce,Yu,Bryce.Yu@gmail.com,GB38NTNE59824103632936,Bryce,Yu,11/24
"Polychnitos Lesvou, Greece (PLC)","Glossa, Greece (GLO)",SEAJET2,ZANTE FERRIES ,9.0,10.0,Cabin-2 Beds (Ext.) [AA2],407.0,No discount,39.21149165965953,2022-10-03,05:00:24,1900-01-01 16:16:24,M,1987-05-25,Belgium,+1-421-319-1212,Nicholas,Baker,Nicholas.Baker@gmail.com,GB72HUTA49882465869490,Nicholas,Baker,05/27
"PURGOS KARUSTIAS EUBOIAS, Greece (824)","Schinousa Kykladon, Greece (SHC)",SIMI,ΑΤΤΙCA GROUP,3.0,3.0,Cabin-4 Beds [A4K],479.0,Hoplites,42.715395126545374,2013-10-14,22:07:58,1900-01-02 04:54:58,M,1984-06-18,Sao Tome and Principe,123.388.5843,Richard,Haynes,Richard.Haynes@gmail.com,GB44SNFQ84580220036023,Richard,Haynes,04/32
"Lefkimmi, Greece (LFK)","Schinousa Kykladon, Greece (SHC)",F/B ELEFTHERIOS VENIZELOS,KARISTIA,10.0,11.0,Cabin-2 Beds [A2K],385.0,Three Children,49.82716364517328,1999-02-25,20:28:14,1900-01-02 09:58:14,F,1983-01-26,Senegal,4358328457,Courtney,Schmidt,Courtney.Schmidt@gmail.com,GB83LJKX02678481118565,Courtney,Schmidt,12/30
"Andros, Greece (AND)","KSULOKASTRO KORINTHIAS, Greece (798)",NISOS RODOS,KERKYRAIKES GRAMMES,6.0,6.0,Cabin-4 Beds [A4K],113.0,College Student,81.46976362747688,1989-09-22,08:05:06,1900-01-01 22:51:06,F,1997-05-01,United States of America,1933436659,Kimberly,Mckinney,Kimberly.Mckinney@gmail.com,GB88LWKN31324664795412,Kimberly,Mckinney,05/26
"Kastelli Kissamou, Greece (KIS)","Zakynthos, Greece (ZTH)",CHAMPION JET1,ANEK LINES,6.0,7.0,Aviation Seat [ATS],379.0,Hoplites,69.45736237591927,1997-12-02,20:36:08,1900-01-02 15:44:08,M,1998-05-18,Poland,1190726722,Tommy,Williams,Tommy.Williams@gmail.com,GB36ZJEV80660486751085,Tommy,Williams,07/29
"Arkitsa, Greece (ARK)","Platania, Greece (PIA)",BLUE STAR NAXOS,ANE KALYMNOU,4.0,3.0,Cabin-4 Beds [AB4],211.0,College Student,38.39049474850033,2018-04-14,17:11:05,1900-01-01 21:13:05,F,1981-01-23,New Caledonia,001-600-613-6226,Heather,Stephens,Heather.Stephens@gmail.com,GB54RDCL51488276941653,Heather,Stephens,09/27
"Venice, Greece (ITVCE)","Sikionia, Greece (SIK)",SUPERRUNNER JET,ANEK LINES,2.0,2.0,Aviation Seat [ATS],171.0,College Student,90.0563704003649,2008-05-11,05:34:44,1900-01-01 09:26:44,M,1986-02-24,Bulgaria,001-906-694-8142,Caleb,Reynolds,Caleb.Reynolds@gmail.com,GB76SKBB45813918527688,Caleb,Reynolds,04/27
"Paleohora Sfakion, Greece (PSF)","Tilos, Greece (TIL)",PROTEAS,SAOS,4.0,5.0,Aviation Seat [ATS],147.0,Three Children,71.89172468302503,1993-11-13,02:58:51,1900-01-01 19:18:51,F,1988-03-28,Zimbabwe,011-644-5210,Megan,Smith,Megan.Smith@gmail.com,GB02LAAA09414813601796,Megan,Smith,09/24
"Brindisi, Greece (ITBDS)","Skopelos, Greece (SKO)",BLUE STAR NAXOS,DODEKANISSOS SEAWAYS,5.0,5.0,Cabin-2 Beds [A2K],416.0,College Student,37.36604959971849,2003-11-23,03:06:01,1900-01-01 14:37:01,F,1992-09-09,Mexico,5337079787,Alexandra,Brown,Alexandra.Brown@gmail.com,GB80RQRB30756860439140,Alexandra,Brown,05/29
"MULOI ARGOUS, Greece (784)","Glyfada Saronikou, Greece (GFD)",SEMPEKO,GOUTOS LINES,8.0,8.0,Cabin-2 Beds [A2K],437.0,No discount,64.50354750350535,1993-06-06,10:47:20,1900-01-01 23:28:20,F,2000-08-13,Svalbard & Jan Mayen Islands,4873065813,Jocelyn,Peters,Jocelyn.Peters@gmail.com,GB57VLGO65205838799688,Jocelyn,Peters,04/27
"Salamis, Greece (SAL)","PURGOS KARUSTIAS EUBOIAS, Greece (824)",NISOS SAMOS,MINOAN LINES,4.0,3.0,Cabin-2 Beds (Ext.) [AA2],149.0,College Student,28.419662947178097,1984-05-24,04:09:04,1900-01-01 07:32:04,M,2003-06-17,Ukraine,092-914-7598,Randy,Simpson,Randy.Simpson@gmail.com,GB10ICXV41795409003905,Randy,Simpson,05/31
"Navpaktos, Greece (NPK)","SUKAMINEA LESBOU, Greece (834)",FAST FERRIES ANDROS,ANEK LINES,5.0,3.0,Cabin-4 Beds (Ext.) [A4],77.0,Retired NAT,14.666803163219454,1981-04-23,02:55:50,1900-01-01 20:29:50,F,1987-07-04,Bahrain,9038881428,Carla,Lopez,Carla.Lopez@gmail.com,GB62YERT04972143016270,Carla,Lopez,11/31
"Petani Beach, Greece (PEB)","PORTO LAPHIA EUBOIAS, Greece (821)",KALYMNOS DOLPHIN,KARISTIA,10.0,1.0,Cabin-3 Beds (Ext.) [A3],489.0,No discount,52.380008551197285,2017-03-21,19:14:15,1900-01-02 04:51:15,M,2003-08-20,Israel,001-055-452-6818,Charles,Frederick,Charles.Frederick@gmail.com,GB92RPTL01929462096152,Charles,Frederick,08/24
"Araxos, Greece (ARX)","Kastellorizou (ex Megisti), Greece (KAS)",H/S/F OLYMPIC CHAMPION,ΑΤΤΙCA GROUP,9.0,6.0,Cabin-2 Beds (Ext.) [AA2],468.0,Retired NAT,44.55814207497988,2009-10-13,11:01:31,1900-01-01 20:49:31,F,1985-08-02,Lithuania,(957)321-1170,Gina,Little,Gina.Little@gmail.com,GB11KTZM25193556367043,Gina,Little,08/25
"Moni Vatopediou, Greece (MVO)","TURGUTREIS, Greece (TR901)",H/S/F OLYMPIC CHAMPION,ZANTE FERRIES ,8.0,5.0,Aviation Seat [ATS],416.0,Retired NAT,63.24697634055216,1975-03-10,00:11:13,1900-01-01 02:08:13,F,1976-03-03,Jamaica,+1-781-474-4636,Alice,Johnson,Alice.Johnson@gmail.com,GB61VBYK23437526895940,Alice,Johnson,03/25
"Mytilene, Greece (MJT)","Pitra, Greece (PIT)",F/B KRITI II,TRITON FERRIES,8.0,3.0,Cabin-4 Beds [A4K],355.0,Retired NAT,63.150042793654166,2014-04-15,23:35:21,1900-01-02 08:19:21,M,2001-03-27,Belarus,636.996.3053,Frederick,Hanna,Frederick.Hanna@gmail.com,GB63DRYT88167045925195,Frederick,Hanna,07/32
"PLATAMONAS PIERIAS, Greece (816)","BATHU KALUMNOU, Greece (721)",HIGHSPEED 4,IONION PELAGOS NE,9.0,5.0,Cabin-3 Beds [AB3],192.0,Retired NAT,54.24474277432851,1991-01-20,13:59:19,1900-01-01 15:36:19,F,1988-04-25,Vietnam,736-463-2066,Debbie,Lawrence,Debbie.Lawrence@gmail.com,GB35IASM18714876189715,Debbie,Lawrence,01/26
"Saint George, Greece (SGB)","Politika, Greece (PTK)",POSEIDON HELLAS,KARISTIA,8.0,7.0,Aviation Seat [ATS],71.0,Having many children,58.5568146267979,2003-09-24,16:58:50,1900-01-02 03:23:50,F,1986-07-01,Liechtenstein,6681229878,Nancy,Hernandez,Nancy.Hernandez@gmail.com,GB07GEOD65992348752296,Nancy,Hernandez,08/23
"Plakias Rethimnou, Greece (ALG)","PURGOS KARUSTIAS EUBOIAS, Greece (824)",PANAGIA SPILIANI,FAST FERRIES,6.0,5.0,Cabin-2 Beds (Ext.) [AA2],175.0,Hoplites,80.39508780635009,2001-08-24,23:03:46,1900-01-02 17:44:46,M,1997-01-09,Liechtenstein,001-000-120-2938,Matthew,Cooley,Matthew.Cooley@gmail.com,GB02XULW85464324710143,Matthew,Cooley,06/32
"PALIOURI KHALKIDIKES, Greece (805)","Amaliapolis, Greece (APL)",ARTEMIS,NOVA FERRIES,8.0,1.0,Cabin-4 Beds [AB4],199.0,Having many children,78.50631874404664,2023-08-23,18:46:11,1900-01-01 23:33:11,F,1971-06-24,Papua New Guinea,(324)267-7198,Sarah,Lopez,Sarah.Lopez@gmail.com,GB17AFBR04484388406566,Sarah,Lopez,01/32
"Soupri, Greece (SOR)","STOMIO KORINTHIAS, Greece (833)",EXPRESS SKIATHOS,ANE KALYMNOU,4.0,4.0,Cabin-2 Beds (Ext.) [A2],463.0,College Student,43.45608401180498,1993-12-09,17:59:35,1900-01-02 07:40:35,F,2002-05-04,Eritrea,262.557.0056,Kimberly,Jackson,Kimberly.Jackson@gmail.com,GB30OLKE10795276965380,Kimberly,Jackson,07/29
"Thymaina Island, Greece (THM)","Skopelos, Greece (SKO)",F/B KRITI II,TWOWAY FERRIES,9.0,10.0,Cabin-3 Beds [AB3],303.0,Having many children,49.42757286906554,2018-01-28,21:04:27,1900-01-02 14:49:27,F,1983-09-21,Tonga,(942)698-0261,Jaclyn,Richardson,Jaclyn.Richardson@gmail.com,GB43SAUF07492867642950,Jaclyn,Richardson,08/24
"Seriphos, Greece (SER)","Paleohora Sfakion, Greece (PSF)",IONION PELAGOS,ALPHA LINES,9.0,8.0,Deck/Living Room [D] ,236.0,Having many children,53.94972925622931,2023-03-03,18:23:02,1900-01-02 02:51:02,F,1992-11-08,Mongolia,(728)413-8079,Melinda,Mendoza,Melinda.Mendoza@gmail.com,GB75PYVU51038342582039,Melinda,Mendoza,10/25
"Aigiali Amorgou, Greece (AIG)","Gythion, Greece (GYT)",FLYINGCAT 6,ALPHA LINES,7.0,1.0,Cabin-4 Beds (Ext.) [A4],25.0,College Student,88.68054420948118,1989-11-07,02:27:43,1900-01-01 11:42:43,F,1982-07-16,Chile,0331422973,Kristine,Bennett,Kristine.Bennett@gmail.com,GB13ZRAU16737971931120,Kristine,Bennett,02/24
"Agios Kirykos, Greece (AKI)","MELINE BOLOU, Greece (777)",F/B ELEFTHERIOS VENIZELOS,GOUTOS LINES,2.0,1.0,Cabin-2 Beds [A2K],193.0,No discount,63.26169829252038,2015-01-23,17:32:01,1900-01-02 04:25:01,M,1986-04-22,Pakistan,(997)478-5693,Michael,Thomas,Michael.Thomas@gmail.com,GB34NMZW51867814306997,Michael,Thomas,02/31
"ΕΙΝΑΙ Ο ΠΑΛΙΟΣ ΚΩΔΙΚΟΣ ΓΙΑ ΤΟ ΠΕΥΚΙ ΕΥΒΟΙΑΣ, Greece (814)","OLUMPIADA KHALKIDIKES, Greece (800)",SUPERRUNNER JET,NOVA FERRIES,6.0,4.0,Cabin-4 Beds (Ext.) [A4],491.0,Hoplites,35.747269761027205,1972-10-22,19:24:08,1900-01-02 06:04:08,M,1982-09-23,Timor-Leste,787-875-9054,Andrew,Brown,Andrew.Brown@gmail.com,GB58AVFH21984608251886,Andrew,Brown,03/29
"Nea Plagia Chalkidiki, Greece (NPY)","Kalamos Island (Lefkada), Greece (KAI)",CORFU SPIRIT,ALPHA LINES,1.0,1.0,Deck/Living Room [D] ,394.0,Having many children,48.98200485422867,2022-04-03,12:13:43,1900-01-02 06:16:43,M,1995-02-08,Maldives,894.872.6898,Gregory,Garcia,Gregory.Garcia@gmail.com,GB72YNPJ45137389081619,Gregory,Garcia,07/32
"Canakkale, Greece (TR-CKZ)","Mesta Hiou, Greece (MHI)",HELLENIC HIGHSPEED,ANEK LINES,3.0,2.0,Aviation Seat [ATS],126.0,No discount,16.649415500140197,2003-06-03,06:27:35,1900-01-01 10:59:35,M,1987-04-26,Slovenia,035.292.8480,Michael,Pierce,Michael.Pierce@gmail.com,GB07OQQC69315000893852,Michael,Pierce,02/27
"Vathy (Port Vathy), Greece (VTH)","Aigiali Amorgou, Greece (AIG)",FAST FERRIES ANDROS,ANEK LINES,2.0,3.0,Cabin-3 Beds [AB3],494.0,Retired NAT,61.87858779709834,1992-08-07,04:40:47,1900-01-01 07:56:47,F,1973-02-02,Antigua and Barbuda,(701)433-8487,Erin,Thompson,Erin.Thompson@gmail.com,GB26LQME40469709959988,Erin,Thompson,09/31
"Halki Dodekanison, Greece (HAL)","Agios Stefanos Corfu, Greece (ASF)",KERKIRA,SEA SPEED FERRIES,2.0,3.0,Aviation Seat [ATS],488.0,Hoplites,83.56981003364469,2016-07-11,13:48:51,1900-01-02 08:36:51,M,1981-08-06,Samoa,(502)877-2561,Matthew,Copeland,Matthew.Copeland@gmail.com,GB44HUJB50185928923806,Matthew,Copeland,08/25
"Poros Trizinias, Greece (PTR)","Halikarnassus (Bodrum), Greece (TRBXN)",MARMARI EXPRESS,ΑΤΤΙCA GROUP,1.0,2.0,Deck/Living Room [D] ,421.0,Retired NAT,32.10913677662551,2022-07-23,06:33:07,1900-01-01 13:59:07,M,1996-10-05,Indonesia,513.668.1311,Todd,Hill,Todd.Hill@gmail.com,GB66ZGCX98190861271464,Todd,Hill,11/23
"Petries Evvoias, Greece (PRE)","Amfilochia, Greece (AMF)",EKATERINI P,DODEKANISSOS SEAWAYS,3.0,2.0,Cabin-3 Beds (Ext.) [A3],420.0,Having many children,60.688783319794084,2022-03-19,20:42:07,1900-01-01 23:05:07,F,1975-10-26,Bosnia and Herzegovina,319-545-8234,Kelly,Alexander,Kelly.Alexander@gmail.com,GB87GKAK06646428332014,Kelly,Alexander,06/30
