	fromHarbor	toHarbor	ship	shippingFirm	passengers	vehicles	position	seatNumber	discount	price	departureDate	departureTime	arrivalTime	gender	birth_date	nationality	phone_number	firstName	lastName	email	cardNumber	creditName	creditSurame	creditExpiration
21	Mirties Kalimnou, Greece (MRS)	Parga, Greece (PAR)	SPORADES STAR	TRITON FERRIES	8.0	5.0	Cabin-3 Beds (Ext.) [A3]	8.0	Retired NAT	88.04040849347352	2018-10-24	21:45:39	1900-01-02 16:18:39	F	1986-11-29	Djibouti	105-237-7212x5423	Nancy	Rogers	Nancy.Rogers@gmail.com	GB87OUAK35931994694058	Nancy	Rogers	06/31
22	MARATHOUPOLE MESSENIAS, Greece (772)	Plakias Rethimnou, Greece (ALG)	NISOS SAMOS	SAOS	6.0	6.0	Cabin-3 Beds (Ext.) [A3]	474.0	Three Children	53.21151461477097	1976-04-16	01:47:13	1900-01-01 15:06:13	M	1986-05-09	Lithuania	+1-580-244-9065	Andrew	Jones	Andrew.Jones@gmail.com	GB32ZTVU73677180608017	Andrew	Jones	06/27
23	Lavrion (Laurium), Greece (LAV)	Kassiopi Corfu, Greece (KSP)	AGIA THEODORA	SEAJETS	9.0	1.0	Aviation Seat [ATS]	371.0	Hoplites	27.710923626711157	2020-10-31	17:34:33	1900-01-01 21:04:33	M	1992-06-25	Dominica	(099)900-9773x9803	Michael	Anderson	Michael.Anderson@gmail.com	GB34LYSK61135265751719	Michael	Anderson	07/30
24	NEA MEKHANIONA THES/NIKES, Greece (791)	Saint George, Greece (SGB)	F/B PORFYROUSA	ANES FERRIES	9.0	6.0	Cabin-4 Beds [AB4]	187.0	No discount	31.844505345197767	2021-08-02	11:55:26	1900-01-02 04:59:26	F	1975-08-17	Algeria	(236)731-1485x58860	Donna	Green	Donna.Green@gmail.com	GB86KBMY77749374728302	Donna	Green	11/30
25	MARATHOKAMPOS SAMOU, Greece (MKP)	Thessi Kyrillo, Greece (TKO)	EXPRESS SKIATHOS	ANE KALYMNOU	1.0	2.0	Cabin-3 Beds (Ext.) [A3]	482.0	College Student	68.12698689196704	1980-05-31	22:45:21	1900-01-02 03:02:21	F	1972-12-09	Serbia	470.717.7031x9947	Crystal	Rodriguez	Crystal.Rodriguez@gmail.com	GB45SVFN23361724200441	Crystal	Rodriguez	10/23
26	Salonika, Greece (SNK)	Thessi Kyrillo, Greece (TKO)	F/B KRITI I	TRITON FERRIES	9.0	6.0	Cabin-4 Beds [A4K]	215.0	Having many children	95.57014428837701	1981-05-22	05:07:04	1900-01-01 15:12:04	M	1983-10-03	Uruguay	862.725.4072x164	Jose	Myers	Jose.Myers@gmail.com	GB97MIBQ95117855385872	Jose	Myers	12/28
27	Souvala, Greece (SLA)	Prinos Thassou, Greece (PPI)	BLUE STAR 2	NOVA FERRIES	3.0	2.0	Cabin-4 Beds [AB4]	435.0	Having many children	49.77834670208962	1999-05-19	20:55:38	1900-01-01 23:30:38	F	2004-02-07	Peru	(977)308-0142	Taylor	Matthews	Taylor.Matthews@gmail.com	GB20ZYHH60185460261233	Taylor	Matthews	03/27
28	MARONEIA SETEIAS, Greece (774)	Parga, Greece (PAR)	EKATERINI P	NOVA FERRIES	7.0	7.0	Cabin-3 Beds [AB3]	4.0	Hoplites	91.62059643770662	2018-08-26	15:28:19	1900-01-02 04:03:19	M	1981-01-08	Gabon	+1-340-586-1936x6481	Patrick	Maynard	Patrick.Maynard@gmail.com	GB98SMQP46318395956662	Patrick	Maynard	10/25
29	Orei, Greece (ORE)	Amaliapolis, Greece (APL)	ANDREAS KALVOS	KERKYRAIKES GRAMMES	3.0	2.0	Cabin-2 Beds [A2K]	449.0	No discount	71.15974201016209	1975-09-24	20:53:14	1900-01-02 01:32:14	F	1999-10-20	Belgium	001-597-708-7354x194	Lori	Holmes	Lori.Holmes@gmail.com	GB98CPLG55105471785968	Lori	Holmes	06/29
30	Agia Marina Grammatikou Attikis, Greece (GMA)	Thirasia, Greece (TRS)	MARE DI LEVANTE	AEGEAN FLYING DOLPHINS	1.0	1.0	Cabin-4 Beds [AB4]	77.0	College Student	99.3400623823868	1975-06-21	17:24:09	1900-01-01 23:32:09	F	1999-01-03	Slovakia (Slovak Republic)	(481)315-0053x014	Stephanie	Horton	Stephanie.Horton@gmail.com	GB66UART79449938867669	Stephanie	Horton	12/29
31	Sougia Chanion, Greece (SOG)	Agios Kirykos, Greece (AKI)	NIKOLAOS	ANES FERRIES	5.0	2.0	Deck/Living Room [D] 	184.0	Three Children	88.26379101864501	1984-12-19	23:48:11	1900-01-02 06:37:11	F	1985-12-02	Georgia	1955832587	Cynthia	Duke	Cynthia.Duke@gmail.com	GB33GWTK53382878656762	Cynthia	Duke	11/28
32	Aspropirgos, Greece (ASS)	Naoussa Parou, Greece (NAS)	ANDREAS KALVOS	KERKYRAIKES GRAMMES	1.0	2.0	Aviation Seat [ATS]	169.0	Retired NAT	13.637715907673568	2023-02-07	07:35:05	1900-01-02 00:53:05	F	1992-05-04	Tajikistan	(913)896-5274x346	Joan	Bennett	Joan.Bennett@gmail.com	GB82ZZQM21966044642175	Joan	Bennett	09/24
33	Pitra, Greece (PIT)	PSATHOPURGOS AKHAIAS, Greece (848)	AGIA THEODORA	ANES FERRIES	3.0	3.0	Cabin-4 Beds [AB4]	70.0	Three Children	69.243303874831	2021-05-20	09:01:07	1900-01-01 23:19:07	M	1997-08-30	Saint Helena	661-581-5676x981	Joseph	Shah	Joseph.Shah@gmail.com	GB91DUMI16012753090617	Joseph	Shah	09/27
34	Suda Bay, Greece (SUD)	Plataria, Greece (PTI)	THEOLOGOS P	AGIA MARINI NE	2.0	2.0	Deck/Living Room [D] 	279.0	No discount	18.584281193700406	2014-06-20	07:26:22	1900-01-01 20:57:22	M	2003-07-16	Congo	+1-341-658-1575x877	Scott	Robinson	Scott.Robinson@gmail.com	GB02RJXO51301560919205	Scott	Robinson	09/32
35	Paleohora Sfakion, Greece (PSF)	Thirasia, Greece (TRS)	PANAGIA SKIADENI	ALPHA LINES	8.0	6.0	Cabin-4 Beds [A4K]	96.0	Having many children	16.552254973145516	1999-03-25	12:53:40	1900-01-02 04:23:40	M	2001-03-26	Denmark	(442)519-6198x401	Ronnie	Holland	Ronnie.Holland@gmail.com	GB12CGGY61673750711252	Ronnie	Holland	01/24
36	Amoliani, Greece (AMI)	AGIOKAMPOS EUBOIAS (OREON), Greece (AOR)	RAPIDLINK JET	LEBANTE FERRIES	6.0	2.0	Cabin-4 Beds [A4K]	138.0	Having many children	99.057174925506	2021-10-31	21:24:13	1900-01-02 05:06:13	M	1978-10-03	Guatemala	(425)487-1952	Bruce	Peters	Bruce.Peters@gmail.com	GB09XWOL83968939959059	Bruce	Peters	03/27
37	Kea (Tzia), Greece (KEA)	Hydra (Idhra), Greece (HYD)	SEAJET2	KERKYRAIKES GRAMMES	9.0	4.0	Cabin-2 Beds (Ext.) [A2]	384.0	Having many children	84.17166200934881	1977-03-02	11:06:09	1900-01-01 17:18:09	M	1973-03-10	Georgia	226-276-0474	Rodney	Ross	Rodney.Ross@gmail.com	GB66LXCP19423505896673	Rodney	Ross	05/29
38	BATHU KALUMNOU, Greece (721)	Orei, Greece (ORE)	SUPERJET	SEBECO LINES	2.0	2.0	Cabin-4 Beds (Ext.) [A4]	173.0	Retired NAT	79.87488142881746	2002-07-05	16:21:14	1900-01-02 11:29:14	M	1997-11-28	Kyrgyz Republic	+1-804-679-7551	Shawn	Woods	Shawn.Woods@gmail.com	GB65RDXO94725218995857	Shawn	Woods	06/27
39	Ancona, Greece (ITAOI)	Eydilos, Greece (EYD)	SUPER STAR	SAOS	10.0	3.0	Cabin-2 Beds (Ext.) [A2]	362.0	College Student	43.56834471910111	2004-02-11	08:45:02	1900-01-02 00:04:02	F	1973-02-12	Korea	(896)878-8587x0805	Rebecca	Smith	Rebecca.Smith@gmail.com	GB59EECY44339454409135	Rebecca	Smith	12/31
40	Trikeri, Greece (TRK)	Inousses, Greece (INO)	POSEIDON HELLAS	SEA SPEED FERRIES	7.0	4.0	Aviation Seat [ATS]	34.0	College Student	41.651848560739055	2004-05-13	09:52:00	1900-01-01 22:37:00	M	1988-02-16	Slovakia (Slovak Republic)	984.308.1057x256	Michael	Luna	Michael.Luna@gmail.com	GB13TOTD38347373030400	Michael	Luna	03/31
41	NEOS MARMARAS KHALKIDIKES, Greece (793)	Dafni, Greece (DAF)	AERO 1 HIGHSPEED	AGIA MARINI NE	10.0	4.0	Cabin-2 Beds (Ext.) [A2]	136.0	College Student	71.45847425026452	2005-08-14	16:53:15	1900-01-02 06:06:15	F	1989-01-03	Cameroon	837.643.7373	Leslie	Steele	Leslie.Steele@gmail.com	GB96DQXL60402391628332	Leslie	Steele	09/28
42	Peyki Evvoias, Greece (PYV)	KHOREUTO BOLOU, Greece (847)	H/S/C SANTORINI PALACE	MINOAN LINES	8.0	4.0	Cabin-2 Beds (Ext.) [AA2]	365.0	Hoplites	21.128799315066864	2007-04-09	01:25:52	1900-01-01 10:41:52	F	1995-12-12	Bouvet Island (Bouvetoya)	484.716.9079x3188	Debra	Sullivan	Debra.Sullivan@gmail.com	GB86XWTZ07983352323144	Debra	Sullivan	08/32
43	Pylos, Greece (PYL)	Paros, Greece (PAS)	H/S/C SANTORINI PALACE	KATEROS	9.0	5.0	Aviation Seat [ATS]	302.0	No discount	69.72446095088328	2015-03-28	06:38:08	1900-01-01 09:12:08	F	1973-09-18	Uzbekistan	001-151-660-2046x8963	Stephanie	Buckley	Stephanie.Buckley@gmail.com	GB02SECH67167491242728	Stephanie	Buckley	08/26
44	PURGOS KARUSTIAS EUBOIAS, Greece (824)	Tsingeli, Greece (TSI)	PSARA GLORY	GOUTOS LINES	2.0	2.0	Aviation Seat [ATS]	165.0	Having many children	94.58083379319547	1996-05-19	07:43:54	1900-01-02 00:52:54	F	2001-12-27	Wallis and Futuna	(236)598-0802	Kelli	Kirk	Kelli.Kirk@gmail.com	GB15EQAI81607887853263	Kelli	Kirk	06/29
45	Ermioni, Greece (ERM)	Igoumenitsa, Greece (IGO)	PROTEAS	TWOWAY FERRIES	3.0	2.0	Deck/Living Room [D] 	258.0	College Student	97.62389206648751	2008-08-09	08:04:26	1900-01-02 03:29:26	F	1979-06-04	Benin	596.643.2644	Tracey	Garcia	Tracey.Garcia@gmail.com	GB66GQPG02746302784526	Tracey	Garcia	12/29
46	Ereikousses Diapontioi Islands, Greece (ERK)	Karystos, Greece (KST)	MARE DI LEVANTE	MINOAN LINES	5.0	3.0	Deck/Living Room [D] 	370.0	Retired NAT	35.718933096662795	1980-08-10	01:14:15	1900-01-01 03:41:15	M	1971-10-31	Djibouti	+1-898-746-1482x2695	Samuel	Watkins	Samuel.Watkins@gmail.com	GB72TEUW47313191079108	Samuel	Watkins	02/25
47	Thessi Kyrillo, Greece (TKO)	Nea Karvali, Greece (NKV)	SUPERJET	SEA SPEED FERRIES	4.0	2.0	Cabin-2 Beds (Ext.) [AA2]	149.0	Having many children	50.30732326269633	2012-02-07	18:52:37	1900-01-02 13:51:37	M	1987-07-05	Hungary	6991075506	Christopher	Clayton	Christopher.Clayton@gmail.com	GB03ZCGL83702502502184	Christopher	Clayton	03/24
48	Korinthos, Greece (KRT)	Eretria, Greece (ERE)	BLUE STAR MYCONOS	ZANTE FERRIES 	1.0	1.0	Cabin-2 Beds [A2K]	303.0	Three Children	97.38913494902378	1989-12-19	04:06:32	1900-01-01 21:44:32	F	1974-06-15	Kuwait	910-975-4154x365	Brenda	Smith	Brenda.Smith@gmail.com	GB52GZHV44375408328543	Brenda	Smith	11/27
49	Paros, Greece (PAS)	Kalamos Island (Lefkada), Greece (KAI)	BLUE STAR MYCONOS	NOVA FERRIES	4.0	4.0	Cabin-3 Beds (Ext.) [A3]	329.0	No discount	57.09950835930882	2014-07-15	20:34:30	1900-01-02 13:05:30	F	1981-09-07	Sudan	0545788010	Ariel	Green	Ariel.Green@gmail.com	GB20FIKE56176944013878	Ariel	Green	09/25
50	Adamas Milos, Greece (ADL)	Katerini, Greece (KEI)	H/S/F HELLENIC SPIRIT	AGIA MARINI NE	1.0	1.0	Cabin-2 Beds (Ext.) [AA2]	396.0	Three Children	55.72014657070432	2014-03-17	23:17:13	1900-01-02 05:14:13	F	2002-09-25	Heard Island and McDonald Islands	111-159-8496x52163	Holly	James	Holly.James@gmail.com	GB85HVZO08706461413699	Holly	James	07/25
51	PAKHEIA AMMOS IERAPETRA, Greece (810)	Kapsalion (Kythira), Greece (KAP)	THUNDER	ANEK LINES	6.0	6.0	Cabin-2 Beds (Ext.) [A2]	447.0	Having many children	64.4199580495077	1984-11-07	10:05:39	1900-01-01 19:21:39	M	1997-01-13	French Polynesia	091-035-6275x1436	Wayne	Bruce	Wayne.Bruce@gmail.com	GB97MFTP48896822783781	Wayne	Bruce	01/25
52	ALUKE BOLOU, Greece (711)	Pteleos, Greece (PTE)	SUPERFAST I	ALPHA LINES	3.0	3.0	Deck/Living Room [D] 	388.0	Hoplites	66.69625363807435	2023-07-18	13:37:07	1900-01-01 15:53:07	F	1971-01-04	Japan	(658)025-3747	Patricia	Johnson	Patricia.Johnson@gmail.com	GB50YCTV15134947374487	Patricia	Johnson	05/29
53	Kastos Island, Greece (KSI)	Atalandi, Greece (ATA)	THUNDER	KARISTIA	8.0	6.0	Cabin-4 Beds [AB4]	25.0	Retired NAT	16.79755606727581	1977-04-13	13:00:12	1900-01-01 21:40:12	M	1994-08-23	Antigua and Barbuda	386.326.3536x30213	Ryan	Hodge	Ryan.Hodge@gmail.com	GB58ZOPS84446437811858	Ryan	Hodge	04/26
54	Plataria, Greece (PTI)	Kardamaina Kos, Greece (KRM)	SPEEDCAT 1	ZANTE FERRIES 	2.0	1.0	Cabin-3 Beds (Ext.) [A3]	197.0	Having many children	40.64533238876952	1992-04-05	13:22:19	1900-01-02 04:44:19	F	1999-07-15	Jamaica	(273)265-3829x762	Kelly	Odom	Kelly.Odom@gmail.com	GB85PGYR26625393011807	Kelly	Odom	02/32
55	Halikarnassus (Bodrum), Greece (TRBXN)	MELINE BOLOU, Greece (777)	HIGH SPEED JET	ZANTE FERRIES 	8.0	3.0	Cabin-4 Beds (Ext.) [A4]	245.0	Hoplites	48.16256415991673	2012-08-08	10:44:03	1900-01-01 21:06:03	M	2003-06-03	Canada	021.959.6016x8343	Jose	Evans	Jose.Evans@gmail.com	GB84CWOR17067417133758	Jose	Evans	07/29
56	Stratoni, Greece (STI)	NEOS MARMARAS KHALKIDIKES, Greece (793)	RAPIDLINK JET	SAOS	10.0	1.0	Deck/Living Room [D] 	2.0	Three Children	19.30459186796331	1985-12-26	02:14:09	1900-01-01 08:22:09	M	1974-11-05	Cote d'Ivoire	(093)440-6382x1914	Michael	Cunningham	Michael.Cunningham@gmail.com	GB72WFPN40740248915443	Michael	Cunningham	09/25
57	Thasos, Greece (TSO)	Myrtos Beach, Greece (MYB)	FLYING DOLPHIN 17	ANE KALYMNOU	7.0	1.0	Cabin-2 Beds [A2K]	262.0	College Student	33.54210721193711	2019-05-06	12:30:11	1900-01-02 03:18:11	M	1977-09-13	Monaco	739-941-6512x00883	Martin	Carey	Martin.Carey@gmail.com	GB19NUQY93043104293117	Martin	Carey	03/24
58	Kalamos Island (Lefkada), Greece (KAI)	Samothraki, Greece (SAM)	ERATO	ANE KALYMNOU	5.0	5.0	Cabin-3 Beds (Ext.) [A3]	47.0	Hoplites	80.03971098496935	2010-06-23	21:20:51	1900-01-02 02:40:51	F	1997-01-17	Cyprus	6526880299	Janice	Moody	Janice.Moody@gmail.com	GB85VGFH34584315983849	Janice	Moody	02/31
59	ALMUROPOTAMOS, Greece (063)	Keratsinion, Greece (KTS)	ARIADNI	ALPHA LINES	8.0	9.0	Cabin-2 Beds (Ext.) [A2]	489.0	Having many children	86.81378874120989	1983-08-29	03:58:25	1900-01-01 11:33:25	M	1974-07-13	France	482.043.6825x787	Steven	Walker	Steven.Walker@gmail.com	GB55CZSP85473715175842	Steven	Walker	12/24
60	Ereikousses Diapontioi Islands, Greece (ERK)	Nafplion, Greece (NAF)	ATHINA	GOUTOS LINES	1.0	1.0	Cabin-2 Beds (Ext.) [A2]	90.0	College Student	10.916675730075621	2021-03-14	18:32:24	1900-01-02 08:56:24	M	1996-11-07	Bangladesh	+1-825-764-0645x23446	Todd	Gibbs	Todd.Gibbs@gmail.com	GB41TTGF96319252907574	Todd	Gibbs	04/30
61	Agia Efimia, Greece (AEF)	Sigri Lesvou, Greece (SGR)	FLYING DOLPHIN 17	KATEROS	2.0	3.0	Cabin-4 Beds [AB4]	480.0	Hoplites	54.82274254823796	1986-08-16	22:42:34	1900-01-02 01:21:34	M	1986-12-13	Honduras	058.618.5743	Jeremy	Sullivan	Jeremy.Sullivan@gmail.com	GB50YCOO30981996589513	Jeremy	Sullivan	11/29
62	Epidavros, Greece (EPI)	Stratoni, Greece (STI)	Η/S/F KNOSSOS PALACΕ	DODEKANISSOS SEAWAYS	10.0	3.0	Cabin-4 Beds [AB4]	386.0	College Student	85.99792473759803	2014-06-23	05:22:24	1900-01-01 22:08:24	F	1990-03-17	Japan	247.224.3033x68624	Becky	Powell	Becky.Powell@gmail.com	GB56RYHK31972020584269	Becky	Powell	09/25
63	Katakolon, Greece (KAK)	Pessada Kefallinnias, Greece (PSK)	SUPERFAST II	ALPHA LINES	4.0	5.0	Cabin-4 Beds [AB4]	68.0	Three Children	10.96072496620846	2001-10-16	07:36:29	1900-01-01 18:06:29	M	1983-02-02	Aruba	(474)701-1611x45927	Brandon	Espinoza	Brandon.Espinoza@gmail.com	GB68XFGA53703473261128	Brandon	Espinoza	09/26
64	Psakhna, Greece (PSA)	Fournoi, Greece (FOU)	FLYINGCAT 5	SEAJETS	7.0	2.0	Cabin-4 Beds [A4K]	460.0	College Student	18.492898608856635	2017-11-24	03:35:02	1900-01-01 08:49:02	F	1983-05-18	Cape Verde	+1-579-683-4611x191	Brooke	Bishop	Brooke.Bishop@gmail.com	GB71JRIK69674914225761	Brooke	Bishop	08/23
65	Vassiliki Leykadas, Greece (VSS)	Achladi, Greece (ACL)	RAPIDLINK JET	ALPHA LINES	3.0	3.0	Cabin-2 Beds (Ext.) [A2]	322.0	Retired NAT	40.76925728091534	2000-03-25	18:15:03	1900-01-02 13:01:03	F	1971-11-03	Bulgaria	001-148-718-8995x2133	Monica	Black	Monica.Black@gmail.com	GB18LRUD22934267764370	Monica	Black	02/29
66	Arkitsa, Greece (ARK)	Agios Nikolaos Fokidas, Greece (AGF)	FLYINGCAT 6	KATEROS	5.0	6.0	Cabin-3 Beds [AB3]	450.0	No discount	57.08226124825564	2012-10-22	01:34:26	1900-01-01 20:16:26	F	2000-08-27	Uruguay	923.573.7346x047	Crystal	Brown	Crystal.Brown@gmail.com	GB74FYFB77452776526361	Crystal	Brown	03/24
