fromHarbor,toHarbor,price,departureDate,departureTime,arrivalTime,birth_date,nationality,phone_number,firstName,lastName,email,cardNumber,creditName,creditSurame,creditExpiration,index
Yerakini-Greece_(YER),Kastos_Island-Greece_(KSI),91.5730391660807,16/11/2018,18:13:14,1900-01-01_20:52:14,04/01/1986,Botswana,0**,Jamie,Simmons,Jamie.Simmons@gmail.com,GB80MNPQ05541985923272,Jamie,Simmons,02/29,71
Salamis-Greece_(SAL),MOURTOS_THESPROTIAS-Greece_(781),38.13985225587399,27/08/1982,21:43:08,1900-01-02_09:14:08,06/04/1977,Japan,0**,Christopher,Baldwin,Christopher.Baldwin@gmail.com,GB14DGDT49531360459735,Christopher,Baldwin,05/31,88
Kapsalion_(Kythira)-Greece_(KAP),Agia_Galini_Rethimnou-Greece_(PIL),85.91926594463399,05/02/2005,01:24:57,1900-01-01_12:44:57,29/01/1990,Colombia,7**,Tyler,Lozano,Tyler.Lozano@gmail.com,GB17XWCH32968551776957,Tyler,Lozano,09/24,47
PANORMITES_SUMES-Greece_(088),Kalymnos-Greece_(KMI),87.38952916350654,22/12/1978,16:22:26,1900-01-02_06:41:26,31/10/1986,China,0**,Brittany,Roberts,Brittany.Roberts@gmail.com,GB73DKSF06367861500828,Brittany,Roberts,10/26,18
Sougia_Chanion-Greece_(SOG),Lakkion-Greece_(PKK),81.31357283870929,16/06/2015,00:07:45,1900-01-01_17:08:45,03/08/1980,Malawi,2**,Kevin,Robinson,Kevin.Robinson@gmail.com,GB47RCSO09045432734738,Kevin,Robinson,05/23,73
Agia_Roumeli-Greece_(ROU),KORTHION_ANDROU-Greece_(755),99.26562817870231,09/02/1996,04:38:08,1900-01-01_12:46:08,22/03/1995,Martinique,(**,Kevin,Campbell,Kevin.Campbell@gmail.com,GB10GIBG99780831345748,Kevin,Campbell,10/26,97
Diafanion-Greece_(DIA),Agia_Marina_Fthiotidas-Greece_(AGM),30.91402441579371,09/02/2005,05:34:10,1900-01-01_14:14:10,24/11/1984,Cameroon,0**,Adrian,Moody,Adrian.Moody@gmail.com,GB93PRYW20970568584121,Adrian,Moody,11/25,59
Kardamaina_Kos-Greece_(KRM),Pissaetos_Ithakis-Greece_(PIS),60.834807902752175,25/11/2006,23:31:14,1900-01-02_17:38:14,04/03/1995,Ireland,(**,Lisa,Liu,Lisa.Liu@gmail.com,GB42UNZF48520094224470,Lisa,Liu,11/24,17
AGIOKAMPOS_EUBOIAS_(OREON)-Greece_(AOR),Mesta_Hiou-Greece_(MHI),46.40770469491557,10/07/2017,12:14:30,1900-01-01_13:22:30,15/12/1974,Norfolk_Island,6**,Stephanie,Miller,Stephanie.Miller@gmail.com,GB72NSLQ19499540856252,Stephanie,Miller,08/27,33
Palaia_Epidavros-Greece_(PEP),KALLONE_LESBOU-Greece_(743),67.48714961256273,06/04/1997,14:01:18,1900-01-01_19:36:18,30/10/1971,Guinea-Bissau,(**,Robert,Martin,Robert.Martin@gmail.com,GB16VJWR06456498143934,Robert,Martin,04/27,95
Kiparissia-Greece_(KIP),ARMENISTES_RODOU-Greece_(718),55.23054369150463,24/10/1994,10:36:13,1900-01-01_21:39:13,21/01/2002,Dominica,5**,Corey,Craig,Corey.Craig@gmail.com,GB22BFOW71622993450601,Corey,Craig,12/28,24
Andirrion-Greece_(ANT),DERBENI_KORINTHIAS-Greece_(730),94.88181964054289,13/01/2018,15:18:58,1900-01-01_17:20:58,19/07/1971,Norway,3**,Ryan,Dixon,Ryan.Dixon@gmail.com,GB49KCZJ68040501564725,Ryan,Dixon,05/31,4
Katerini-Greece_(KEI),Samos-Greece_(SMI),13.291838794924956,30/12/1970,06:15:20,1900-01-01_10:45:20,30/05/1988,Bulgaria,7**,Dana,Walker,Dana.Walker@gmail.com,GB97DCBP28732792565548,Dana,Walker,11/27,60
Pachi-Greece_(PME),NIKETE_KHALKIDIKES-Greece_(796),10.51803898254229,05/04/1996,15:28:47,1900-01-01_16:39:47,26/03/1987,Slovakia_(Slovak_Republic),1**,Jeremy,Rollins,Jeremy.Rollins@gmail.com,GB91BILE82260526781022,Jeremy,Rollins,01/32,80
KOTRONAS_LAKONIAS-Greece_(757),Thira-Greece_(JTR),33.09025199848668,10/02/1989,22:29:09,1900-01-02_11:04:09,23/03/1988,Tuvalu,2**,Tina,Parker,Tina.Parker@gmail.com,GB33WJUV88418029887127,Tina,Parker,03/24,83
Donousa_Kykladon-Greece_(DON),Skaloma-Greece_(SKM),97.23542059299888,10/08/2014,22:51:10,1900-01-02_13:39:10,29/10/2002,Macao,6**,Carlos,Heath,Carlos.Heath@gmail.com,GB86NJRW99636291039958,Carlos,Heath,03/29,15
Kiato-Greece_(KIO),Lefkada_(Lefkas)-Greece_(LEV),37.84929515861914,04/04/2022,21:03:58,1900-01-02_04:46:58,29/12/1998,Slovenia,+**,William,Ruiz,William.Ruiz@gmail.com,GB94UKIB33988826077136,William,Ruiz,03/27,51
Assos-Greece_(SOS),Keramoti-Greece_(KER),56.66419299084126,28/07/2020,17:28:21,1900-01-02_08:52:21,29/01/2000,Anguilla,8**,Erika,Riley,Erika.Riley@gmail.com,GB02EKTB53854993404924,Erika,Riley,01/33,36
Eretria-Greece_(ERE),Kythnos-Greece_(KYT),21.885990119583145,16/03/1992,14:36:30,1900-01-01_21:52:30,16/06/1980,Peru,0**,Kirk,Bray,Kirk.Bray@gmail.com,GB24VSGE61664664285663,Kirk,Bray,05/29,23
Antikyra-Greece_(ATK),Amaliapolis-Greece_(APL),29.58427531128544,02/11/2009,12:09:52,1900-01-02_02:57:52,30/10/1973,Russian_Federation,6**,Raymond,Young,Raymond.Young@gmail.com,GB77NUAG04345320854281,Raymond,Young,09/31,8
KOTRONAS_LAKONIAS-Greece_(757),Politika-Greece_(PTK),36.46776898616051,16/06/2013,03:20:40,1900-01-01_06:07:40,17/11/2002,Rwanda,3**,Latoya,Austin,Latoya.Austin@gmail.com,GB17VXTL59290918759896,Latoya,Austin,02/24,70
AGIOKAMPOS_EUBOIAS_(OREON)-Greece_(AOR),Agios_Stefanos_Corfu-Greece_(ASF),20.57664107791944,04/07/2016,01:52:07,1900-01-01_07:23:07,02/10/1973,Pitcairn_Islands,1**,Anna,Smith,Anna.Smith@gmail.com,GB39HXKF11296512019702,Anna,Smith,03/25,40
Mirties_Kalimnou-Greece_(MRS),Kosta_Ermionidas-Greece_(KEM),13.56153135795908,09/10/1988,07:13:44,1900-01-01_15:25:44,21/10/1997,India,+**,Jeffrey,Smith,Jeffrey.Smith@gmail.com,GB69QHGZ46762217374305,Jeffrey,Smith,10/28,2
PORTO_LAPHIA_EUBOIAS-Greece_(821),Pessada_Kefallinnias-Greece_(PSK),19.48419189083648,30/05/2013,09:06:09,1900-01-01_18:02:09,16/06/1991,Uzbekistan,(**,Mindy,Hill,Mindy.Hill@gmail.com,GB49YXBF84887159902943,Mindy,Hill,03/32,64
Skopelos-Greece_(SKO),Othonoi-Greece_(OTH),28.997151874472483,20/09/2010,09:06:41,1900-01-02_01:24:41,10/10/1998,Senegal,8**,Michael,Brown,Michael.Brown@gmail.com,GB16GBRG40683632505496,Michael,Brown,05/29,61
Tilos-Greece_(TIL),PLAKA_LEMNOU-Greece_(815),91.01290592327936,18/03/1980,12:53:24,1900-01-01_23:42:24,20/11/1985,Iraq,(**,Christine,Woodward,Christine.Woodward@gmail.com,GB53ODVR05349006570493,Christine,Woodward,09/31,1
PISO_LIVADI_PAROS-Greece_(857),Chios-Greece_(JKH),15.48615521623838,05/12/2015,15:09:14,1900-01-02_09:16:14,15/08/2004,Tajikistan,+**,Melissa,West,Melissa.West@gmail.com,GB66LXWB13827029008720,Melissa,West,01/25,39
Vassiliki_Leykadas-Greece_(VSS),Oia_Kyklades-Greece_(OIK),48.87527373983862,29/10/2009,16:43:36,1900-01-02_09:10:36,17/02/1976,Brazil,8**,Sherri,Martinez,Sherri.Martinez@gmail.com,GB05HZIT40097094108579,Sherri,Martinez,07/32,52
Skiros-Greece_(SKU),Skaramangas-Greece_(SKA),20.698765529295244,04/04/2009,12:42:36,1900-01-02_02:56:36,04/06/1983,Switzerland,6**,Monica,Richardson,Monica.Richardson@gmail.com,GB59EFRS89127713124323,Monica,Richardson,02/31,27
Galatas_Troizinas-Greece_(GAL),Chalkida-Greece_(CLK),71.05283206563814,17/03/2013,08:52:52,1900-01-01_16:59:52,16/08/1993,Macedonia,1**,Keith,Hill,Keith.Hill@gmail.com,GB52HWPM53828325127412,Keith,Hill,07/23,91
Delos-Greece_(DOS),Antiparos-Greece_(ANP),94.98891736854534,27/12/2006,01:09:37,1900-01-01_16:44:37,23/09/2001,Gabon,(**,John,Joseph,John.Joseph@gmail.com,GB55RGEO12700108043889,John,Joseph,12/29,45
TUROS_ARKADIAS-Greece_(840),Kalamata-Greece_(KLX),73.40546698048519,20/03/2012,20:25:26,1900-01-02_16:02:26,23/07/1971,Botswana,2**,Heather,Meyer,Heather.Meyer@gmail.com,GB16SYZL90285744085057,Heather,Meyer,12/24,43
PANAGIOUDA_LESBOU-Greece_(807),Phserimos_Dodekanisou-Greece_(PSE),26.36879087388376,21/05/2018,21:51:33,1900-01-02_04:20:33,27/12/2003,Lebanon,(**,Renee,Cruz,Renee.Cruz@gmail.com,GB22MVPN70719213894856,Renee,Cruz,05/30,20
Skafidia-Greece_(SKD),PAKHEIA_AMMOS_IERAPETRA-Greece_(810),74.85743556482012,15/05/1983,05:39:41,1900-01-01_20:39:41,28/03/1977,Gabon,0**,Christopher,Zuniga,Christopher.Zuniga@gmail.com,GB95CGMR79472449604508,Christopher,Zuniga,03/31,16
Karystos-Greece_(KST),Karpathos-Greece_(AOK),77.4044944052355,21/12/2013,10:41:33,1900-01-01_16:49:33,11/01/1986,Malta,+**,Andrew,Peterson,Andrew.Peterson@gmail.com,GB44MXAE46335885191170,Andrew,Peterson,05/26,44
PAMPHILA_LESBOU-Greece_(806),Kalamata-Greece_(KLX),97.17182191160283,26/11/1979,15:21:43,1900-01-02_06:12:43,05/03/1985,Vanuatu,7**,Julie,Knox,Julie.Knox@gmail.com,GB77ZISC86396234943953,Julie,Knox,06/23,35
PISO_LIVADI_PAROS-Greece_(857),Agia_Marina_Grammatikou_Attikis-Greece_(GMA),98.1731012579621,09/02/1978,22:30:38,1900-01-02_08:09:38,04/11/1999,Guatemala,8**,Ryan,Nguyen,Ryan.Nguyen@gmail.com,GB70IVVF50456146329713,Ryan,Nguyen,06/27,7
Plakias_Rethimnou-Greece_(ALG),Skopelos-Greece_(SKO),49.29862422128173,16/05/2010,09:34:44,1900-01-01_16:06:44,22/07/2000,Hong_Kong,5**,Angela,Manning,Angela.Manning@gmail.com,GB14GBXR82026730773302,Angela,Manning,10/31,96
Stavros_Halkidikis-Greece_(SHA),Xirokambion-Greece_(XKB),94.9993194310252,18/07/1992,22:34:00,1900-01-02_03:06:00,03/03/1977,Mali,8**,Michelle,Howell,Michelle.Howell@gmail.com,GB59PSTD70181751101334,Michelle,Howell,03/27,28
PORTO_KARRA_KHALKIDIKES-Greece_(854),Lavrion_(Laurium)-Greece_(LAV),44.38537259443876,22/03/2002,05:02:31,1900-01-01_18:46:31,20/01/2004,Dominican_Republic,2**,Angela,Lee,Angela.Lee@gmail.com,GB77MEBU82770108238329,Angela,Lee,11/32,72
Gavdos_Chanea-Greece_(GAD),Paloukia-Greece_(PAO),84.48850562004132,04/01/1976,05:21:06,1900-01-01_23:28:06,03/08/2004,Central_African_Republic,3**,Scott,Allen,Scott.Allen@gmail.com,GB67TIXE98640252377120,Scott,Allen,01/28,58
Vrisakia-Greece_(VRI),Skopelos-Greece_(SKO),53.6789682611855,10/06/1971,03:06:43,1900-01-01_13:17:43,15/07/1988,Turkmenistan,6**,Judith,Nichols,Judith.Nichols@gmail.com,GB68TPXM71759052876951,Judith,Nichols,12/26,57
Kalymnos-Greece_(KMI),DERBENI_KORINTHIAS-Greece_(730),63.47320888520544,19/08/2022,03:22:45,1900-01-01_16:21:45,18/07/1988,Guam,(**,Kendra,Murray,Kendra.Murray@gmail.com,GB12YMLY12069092231089,Kendra,Murray,10/24,0
Moudhros-Greece_(MDR),Ithaki_(Ithaca)-Greece_(ITH),68.45995773730606,19/04/2012,16:34:53,1900-01-02_04:41:53,08/09/1993,Lesotho,+**,Andrea,Ray,Andrea.Ray@gmail.com,GB14VAQI02373733136574,Andrea,Ray,04/25,69
RAKHAI_PHTHIOTIDAS-Greece_(825),Limni-Greece_(LII),22.195213249930266,14/07/1992,02:23:38,1900-01-01_06:06:38,30/05/2002,Algeria,9**,Tara,Graham,Tara.Graham@gmail.com,GB53CKTB61904071738995,Tara,Graham,01/30,76
PLATAMONAS_PIERIAS-Greece_(816),Vassiliki_Leykadas-Greece_(VSS),82.35470397070661,07/10/1973,11:46:08,1900-01-01_13:19:08,08/06/1994,Ghana,+**,Travis,Page,Travis.Page@gmail.com,GB84LGPY78252306212818,Travis,Page,04/30,13
Glyfada_Saronikou-Greece_(GFD),Agria-Greece_(AGA),36.84498196173588,03/09/1983,13:02:06,1900-01-01_16:55:06,20/01/1993,Ukraine,3**,Faith,Jones,Faith.Jones@gmail.com,GB63NTMO37671443187305,Faith,Jones,02/24,50
Katapola-Greece_(KTP),Agia_Efimia-Greece_(AEF),27.1445494646169,20/10/1979,03:14:11,1900-01-01_20:54:11,05/03/1998,Holy_See_(Vatican_City_State),8**,Jonathan,Ballard,Jonathan.Ballard@gmail.com,GB72WNCR07181033805792,Jonathan,Ballard,08/25,81
Perama_Geras_Mytilinis-Greece_(PGM),Psakhna-Greece_(PSA),27.0436823379016,10/07/1999,22:00:21,1900-01-02_03:07:21,29/12/2000,Philippines,(**,Melvin,Jackson,Melvin.Jackson@gmail.com,GB29IAIJ55056373057186,Melvin,Jackson,11/32,84
MAKRONISOS-Greece_(856),Platygiali_Etoloakarnanias-Greece_(PLG),38.697722088650565,06/07/2020,16:59:15,1900-01-01_22:37:15,13/07/1972,Macao,4**,Taylor,Giles,Taylor.Giles@gmail.com,GB82UEVF88866385181644,Taylor,Giles,11/28,77
Kos-Greece_(KGS),Kalymnos-Greece_(KMI),43.0139972838323,30/01/2009,18:27:24,1900-01-01_21:00:24,29/08/1995,Niger,0**,Joy,Thompson,Joy.Thompson@gmail.com,GB85LMTG99059817652924,Joy,Thompson,04/32,78
Amfilochia-Greece_(AMF),NEOS_MARMARAS_KHALKIDIKES-Greece_(793),49.84156665745402,06/02/2006,08:57:25,1900-01-01_19:19:25,05/02/2003,Norfolk_Island,3**,Lisa,Wilson,Lisa.Wilson@gmail.com,GB41YTIZ28196521751823,Lisa,Wilson,12/28,42
Perama_Geras_Mytilinis-Greece_(PGM),Achladi-Greece_(ACL),71.6470710303301,04/05/1993,20:32:04,1900-01-02_12:15:04,02/12/2001,Ireland,(**,Hector,King,Hector.King@gmail.com,GB86SMVC19416655361987,Hector,King,06/32,37
Mytilene-Greece_(MJT),Andirrion-Greece_(ANT),29.7913929022706,01/09/1994,15:59:49,1900-01-01_23:45:49,12/02/1983,Monaco,+**,Sean,Wu,Sean.Wu@gmail.com,GB53BHPG77019513552101,Sean,Wu,10/32,67
Monemvasia-Greece_(MON),Skaloma-Greece_(SKM),84.22802299450491,17/09/2021,09:40:21,1900-01-01_10:53:21,16/10/1992,Pitcairn_Islands,2**,Theresa,Dean,Theresa.Dean@gmail.com,GB18NPZJ11449028696572,Theresa,Dean,05/30,93
PORTO_KARRA_KHALKIDIKES-Greece_(854),NEA_PERAMOS-Greece_(902),34.34762306926079,22/04/1972,10:53:41,1900-01-02_05:59:41,17/04/1997,Andorra,1**,Daniel,Foster,Daniel.Foster@gmail.com,GB16EJIV54656514854969,Daniel,Foster,10/23,22
Volos-Greece_(VOL),Pachi-Greece_(PME),81.7466725536334,24/02/2023,22:48:01,1900-01-02_07:33:01,31/03/1983,Czech_Republic,7**,Brittany,Marshall,Brittany.Marshall@gmail.com,GB56DNVI01625025665407,Brittany,Marshall,01/29,68
Pelasyia-Greece_(PEL),Glossa-Greece_(GLO),36.01310297656475,03/03/1981,08:26:28,1900-01-01_22:58:28,21/02/1997,Ukraine,0**,Michelle,Nixon,Michelle.Nixon@gmail.com,GB39LDWZ63184776140051,Michelle,Nixon,02/30,46
Elafonissos_Lakonias-Greece_(ELN),Herakleia_Kykladon-Greece_(HRK),84.1380907949731,08/12/2015,14:09:12,1900-01-02_01:11:12,13/03/1986,Faroe_Islands,9**,Katrina,Taylor,Katrina.Taylor@gmail.com,GB82PWZD51209850800767,Katrina,Taylor,11/25,10
Nea_Moudhania-Greece_(NMA),Glyfada_Saronikou-Greece_(GFD),92.4338101714954,14/07/1998,14:06:33,1900-01-01_19:20:33,04/10/1998,Malawi,4**,Caleb,Everett,Caleb.Everett@gmail.com,GB90ABYS60650814186206,Caleb,Everett,04/25,87
Stylida_(Stylis)-Greece_(SYS),Lefkada_(Lefkas)-Greece_(LEV),40.765856862574736,02/07/1975,14:15:06,1900-01-01_17:57:06,06/02/1990,United_States_of_America,6**,Benjamin,Williams,Benjamin.Williams@gmail.com,GB84LOOQ56740508882577,Benjamin,Williams,04/25,55
Rhodes-Greece_(RHO),Petra-Greece_(PLV),88.72036290931102,30/08/1973,13:30:28,1900-01-02_01:18:28,30/03/1976,Nauru,3**,Lisa,Erickson,Lisa.Erickson@gmail.com,GB20CZQU69335044690372,Lisa,Erickson,07/27,85
Molyvos-Greece_(MOL),Lefkada_(Lefkas)-Greece_(LEV),68.4280617788701,07/08/1972,16:37:47,1900-01-02_04:14:47,18/09/1980,Liberia,(**,David,Day,David.Day@gmail.com,GB38DXKW75869016634210,David,Day,05/25,63
Faneromeni_Salaminas-Greece_(FNR),KOULOURA_AIGIOU-Greece_(760),79.66520894295375,30/11/1975,20:17:44,1900-01-02_10:27:44,15/02/1995,Andorra,6**,Robert,Green,Robert.Green@gmail.com,GB43XEPD74257812959073,Robert,Green,07/28,49
Argostolion-Greece_(ARM),Piraeus-Greece_(PIR),51.05706265181488,16/06/2003,23:44:03,1900-01-02_05:05:03,15/01/1996,Greenland,4**,Jeremy,Brown,Jeremy.Brown@gmail.com,GB58KRZL12098922366343,Jeremy,Brown,12/29,21
Peyki_Evvoias-Greece_(PYV),Skaramangas-Greece_(SKA),81.92501014117705,30/03/1973,02:05:39,1900-01-01_04:59:39,10/08/1985,Ukraine,0**,Samantha,Parker,Samantha.Parker@gmail.com,GB72AGIA74329334818522,Samantha,Parker,03/28,25
Potamos_Antikithera-Greece_(POA),Kastelli_Kissamou-Greece_(KIS),81.29456026813381,25/11/1992,12:29:04,1900-01-02_04:55:04,16/04/1985,Austria,6**,Raymond,Russell,Raymond.Russell@gmail.com,GB95TEAC73275628534496,Raymond,Russell,04/23,48
Adamas_Milos-Greece_(ADL),Myrtos_Beach-Greece_(MYB),83.75167641855379,20/03/2005,15:34:12,1900-01-02_06:05:12,17/02/1995,Gabon,(**,Edward,Young,Edward.Young@gmail.com,GB11KRZV39367791156776,Edward,Young,09/30,92
Paxi-Greece_(PAX),Oia_Kyklades-Greece_(OIK),42.16030069351135,02/11/1981,03:58:21,1900-01-01_17:06:21,30/07/1989,Spain,9**,Jeremy,Palmer,Jeremy.Palmer@gmail.com,GB28LDQB53242592122594,Jeremy,Palmer,03/30,75
PURGOS_KARUSTIAS_EUBOIAS-Greece_(824),Nea_Stira-Greece_(NST),30.62483840778388,17/11/1997,18:04:15,1900-01-02_00:59:15,16/10/2000,Mozambique,9**,Jaime,Jones,Jaime.Jones@gmail.com,GB41UQQH59779229171320,Jaime,Jones,08/26,5
Molyvos-Greece_(MOL),Epidavros-Greece_(EPI),72.26097000164492,19/03/1976,12:23:54,1900-01-02_05:20:54,09/04/1979,Somalia,5**,Heather,Williams,Heather.Williams@gmail.com,GB15RAFY71082451946431,Heather,Williams,01/28,3
Eretria-Greece_(ERE),Eleusina-Greece_(EEU),90.73229692437836,04/07/2014,01:10:10,1900-01-01_07:42:10,19/04/1982,Croatia,8**,Audrey,Jackson,Audrey.Jackson@gmail.com,GB69XRZB89250612047306,Audrey,Jackson,05/29,32
Mathraki_Diapontioi_Island-Greece_(MTR),Nea_Moudhania-Greece_(NMA),44.59700779067845,06/11/1971,09:19:45,1900-01-01_18:44:45,15/12/2001,Jordan,(**,Charles,Jordan,Charles.Jordan@gmail.com,GB05WSRQ30192004087717,Charles,Jordan,02/24,29
KITROS_PIERIAS-Greece_(753),MOURTOS_THESPROTIAS-Greece_(781),74.8024536308808,19/07/1993,19:16:46,1900-01-02_02:24:46,15/04/1998,Switzerland,(**,Kimberly,Fuller,Kimberly.Fuller@gmail.com,GB28AMYQ31096487814054,Kimberly,Fuller,09/31,26
Skaloma-Greece_(SKM),Antikyra-Greece_(ATK),35.22260245438097,26/10/2004,06:22:53,1900-01-01_09:06:53,13/11/1983,Oman,(**,Brenda,Mahoney,Brenda.Mahoney@gmail.com,GB11SBMC53607226643937,Brenda,Mahoney,07/32,12
PANORMITES_SUMES-Greece_(088),Soupri-Greece_(SOR),88.26198945478347,19/03/2009,18:56:55,1900-01-02_11:39:55,13/03/1983,Seychelles,7**,David,Chavez,David.Chavez@gmail.com,GB05KTBU74429352573254,David,Chavez,10/23,74
MOURTOS_THESPROTIAS-Greece_(781),Petries_Evvoias-Greece_(PRE),21.1158021596986,16/02/1990,16:55:59,1900-01-02_06:31:59,19/06/1976,Senegal,5**,Alison,Wallace,Alison.Wallace@gmail.com,GB17WTQW67379968238287,Alison,Wallace,12/23,99
Seriphos-Greece_(SER),Vrisakia-Greece_(VRI),54.75018100612128,03/07/2007,14:13:12,1900-01-02_08:31:12,18/08/1980,Austria,9**,Kelly,Santiago,Kelly.Santiago@gmail.com,GB61YWJP97708651549398,Kelly,Santiago,03/33,54
Pessada_Kefallinnias-Greece_(PSK),LOUTRAKI_KORINTHIAS-Greece_(769),31.170316098257818,06/09/2006,02:56:16,1900-01-01_17:17:16,19/09/1989,Finland,+**,Alan,Marsh,Alan.Marsh@gmail.com,GB33EHAM41295059606901,Alan,Marsh,01/26,66
Naoussa_Parou-Greece_(NAS),Glyfada_Saronikou-Greece_(GFD),27.596685065548908,23/11/1993,22:45:59,1900-01-02_15:42:59,15/07/1988,Saint_Helena,7**,Heidi,Fowler,Heidi.Fowler@gmail.com,GB09ZGRT84634507273045,Heidi,Fowler,09/32,41
Paloukia-Greece_(PAO),EPANOME_THESSALONIKES-Greece_(735),60.55534099203777,14/06/1991,01:43:17,1900-01-01_05:23:17,09/08/1999,Slovakia_(Slovak_Republic),+**,Christopher,Rivera,Christopher.Rivera@gmail.com,GB10YITF62399276273929,Christopher,Rivera,05/32,56
Kalamos_Island_(Lefkada)-Greece_(KAI),Saint_Nicolas-Greece_(STN),26.774874987624344,10/01/1973,10:44:02,1900-01-01_17:13:02,23/09/2000,Taiwan,5**,Leah,Simpson,Leah.Simpson@gmail.com,GB92DJBX96083700105203,Leah,Simpson,06/29,31
Trypiti_Chalkidikis-Greece_(TRY),Larymna-Greece_(LRY),87.43935815099516,11/01/2019,09:11:45,1900-01-01_18:03:45,19/05/1993,Angola,(**,Cheryl,Gutierrez,Cheryl.Gutierrez@gmail.com,GB27OYIW63809590105518,Cheryl,Gutierrez,09/27,34
KHOREUTO_BOLOU-Greece_(847),Nea_Moudhania-Greece_(NMA),11.026721297172507,04/11/1994,17:12:25,1900-01-02_03:56:25,26/04/2004,Antigua_and_Barbuda,+**,Sean,Jones,Sean.Jones@gmail.com,GB19FVVH78670965394142,Sean,Jones,10/32,82
Hydra_(Idhra)-Greece_(HYD),Pissaetos_Ithakis-Greece_(PIS),19.13859487748677,14/06/1996,02:03:24,1900-01-01_15:27:24,04/06/1985,South_Africa,(**,Tim,Chase,Tim.Chase@gmail.com,GB06LEPU43321833352659,Tim,Chase,01/24,89
Pyrgos-Greece_(PYR),Astypalaia-Greece_(JTY),37.42620701667786,18/10/2015,04:40:29,1900-01-01_19:32:29,17/12/2003,Bahamas,0**,Dominic,Walker,Dominic.Walker@gmail.com,GB56VEDA39565996181547,Dominic,Walker,03/33,30
Mirina-Greece_(MYR),Agia_Roumeli-Greece_(ROU),45.55254448574019,20/11/2003,20:13:50,1900-01-02_16:03:50,05/12/2000,Finland,0**,Tiffany,Harris,Tiffany.Harris@gmail.com,GB79YKYL95958657575491,Tiffany,Harris,02/29,62
Palaia_Epidavros-Greece_(PEP),Eleusina-Greece_(EEU),41.05276494939265,06/04/1996,13:51:29,1900-01-02_04:43:29,30/03/1986,Uzbekistan,(**,Tammy,Collins,Tammy.Collins@gmail.com,GB94MXUO89396080652405,Tammy,Collins,06/24,65
